z(m),CH2CH3(S),CH3(S),H(S),CH2(S),CHCH3(S),CH2CH2(S),CH(S),CCH3(S),CHCH2(S),C(S),CCH2(S),CHCH(S),CCH(S),CC(S),CH4(S),PT(S)
5.500000e-04, 5.472938e-08, 5.408903e-09, 1.201878e-03, 1.516414e-06, 3.703464e-09, 5.829338e-08, 4.998832e-01, 1.945086e-02, 1.696345e-06, 3.892513e-01, 2.079067e-02, 1.030376e-03, 1.792579e-04, 1.648313e-05, 3.592782e-08, 6.819253e-02
5.950000e-04, 5.486514e-08, 6.061078e-09, 1.253457e-03, 1.605962e-06, 3.929671e-09, 6.162414e-08, 4.951851e-01, 1.903479e-02, 1.742593e-06, 3.925686e-01, 2.051142e-02, 1.034424e-03, 1.881069e-04, 1.766363e-05, 4.670024e-08, 7.020293e-02
6.400000e-04, 5.622750e-08, 6.938209e-09, 1.324959e-03, 1.695433e-06, 4.004156e-09, 6.505567e-08, 4.836655e-01, 1.757217e-02, 1.728748e-06, 4.022688e-01, 1.957765e-02, 1.006106e-03, 1.995994e-04, 1.975280e-05, 6.256847e-08, 7.436175e-02
6.850000e-04, 5.704576e-08, 8.027394e-09, 1.395754e-03, 1.798581e-06, 4.143180e-09, 6.854413e-08, 4.733666e-01, 1.643483e-02, 1.734577e-06, 4.106264e-01, 1.882807e-02, 9.887956e-04, 2.125587e-04, 2.203698e-05, 8.325732e-08, 7.812121e-02
7.300000e-04, 5.642401e-08, 9.202181e-09, 1.449979e-03, 1.918377e-06, 4.474683e-09, 7.206511e-08, 4.696015e-01, 1.627438e-02, 1.804611e-06, 4.129790e-01, 1.871426e-02, 1.005194e-03, 2.250122e-04, 2.372372e-05, 1.067051e-07, 7.972305e-02
7.750000e-04, 5.491151e-08, 1.038318e-08, 1.488891e-03, 2.044038e-06, 4.952505e-09, 7.556167e-08, 4.707907e-01, 1.679920e-02, 1.920621e-06, 4.108856e-01, 1.905410e-02, 1.044484e-03, 2.359055e-04, 2.473136e-05, 1.318078e-07, 7.967212e-02
8.200000e-04, 5.349397e-08, 1.163629e-08, 1.524336e-03, 2.163577e-06, 5.435940e-09, 7.899869e-08, 4.722500e-01, 1.734490e-02, 2.034872e-06, 4.085824e-01, 1.940164e-02, 1.082163e-03, 2.457040e-04, 2.557675e-05, 1.601719e-07, 7.953872e-02
8.650000e-04, 5.267487e-08, 1.310027e-08, 1.565961e-03, 2.273575e-06, 5.817488e-09, 8.238211e-08, 4.709814e-01, 1.745519e-02, 2.114098e-06, 4.088175e-01, 1.946390e-02, 1.102640e-03, 2.555481e-04, 2.674228e-05, 1.948932e-07, 8.032644e-02
9.100000e-04, 5.230942e-08, 1.486326e-08, 1.614321e-03, 2.378268e-06, 6.101648e-09, 8.570143e-08, 4.671901e-01, 1.716713e-02, 2.161273e-06, 4.113982e-01, 1.926933e-02, 1.108208e-03, 2.660884e-04, 2.831769e-05, 2.381131e-07, 8.195341e-02
9.550000e-04, 5.187388e-08, 1.686669e-08, 1.661831e-03, 2.484643e-06, 6.390971e-09, 8.893641e-08, 4.634371e-01, 1.688614e-02, 2.208125e-06, 4.139773e-01, 1.908124e-02, 1.114032e-03, 2.769894e-04, 2.997470e-05, 2.889160e-07, 8.353024e-02
1.000000e-03, 5.078262e-08, 1.884171e-08, 1.696529e-03, 2.598153e-06, 6.834149e-09, 9.209695e-08, 4.632669e-01, 1.713661e-02, 2.298087e-06, 4.133732e-01, 1.924569e-02, 1.139623e-03, 2.869366e-04, 3.106677e-05, 3.416594e-07, 8.381809e-02
1.000000e-03, 5.078262e-08, 1.884171e-08, 1.696529e-03, 2.598153e-06, 6.834149e-09, 9.209695e-08, 4.632669e-01, 1.713661e-02, 2.298087e-06, 4.133732e-01, 1.924569e-02, 1.139623e-03, 2.869366e-04, 3.106677e-05, 3.416594e-07, 8.381809e-02
