t(s),cat,react1,react2,int1,int2,int3,prod,water
3.50000000e+04,2.83881898e-07,1.80055148e-01,1.80292967e-01,4.75637107e-04,2.38122690e-05,5.99261880e-01,3.98902709e-02,0.00000000e+00
3.60000000e+04,2.85695849e-07,1.79480783e-01,1.79719358e-01,4.77149388e-04,2.38119792e-05,5.99259607e-01,4.10390046e-02,0.00000000e+00
3.70000000e+04,2.87527219e-07,1.78906421e-01,1.79145756e-01,4.78671284e-04,2.38116869e-05,5.99257319e-01,4.21877339e-02,0.00000000e+00
3.80000000e+04,2.89376231e-07,1.78332060e-01,1.78572161e-01,4.80202888e-04,2.38113922e-05,5.99255016e-01,4.33364588e-02,0.00000000e+00
3.90000000e+04,2.91243115e-07,1.77757702e-01,1.77998574e-01,4.81744292e-04,2.38110948e-05,5.99252699e-01,4.44851792e-02,0.00000000e+00
4.00000000e+04,2.93128099e-07,1.77183346e-01,1.77424993e-01,4.83295591e-04,2.38107950e-05,5.99250366e-01,4.56338952e-02,0.00000000e+00
4.10000000e+04,2.95031418e-07,1.76608992e-01,1.76851420e-01,4.84856879e-04,2.38104925e-05,5.99248019e-01,4.67826067e-02,0.00000000e+00
4.20000000e+04,2.96953311e-07,1.76034640e-01,1.76277854e-01,4.86428254e-04,2.38101874e-05,5.99245657e-01,4.79313137e-02,0.00000000e+00
4.30000000e+04,2.98894020e-07,1.75460291e-01,1.75704296e-01,4.88009813e-04,2.38098796e-05,5.99243279e-01,4.90800162e-02,0.00000000e+00
4.40000000e+04,3.00853791e-07,1.74885944e-01,1.75130745e-01,4.89601655e-04,2.38095692e-05,5.99240885e-01,5.02287141e-02,0.00000000e+00
4.50000000e+04,3.02832874e-07,1.74311599e-01,1.74557201e-01,4.91203881e-04,2.38092560e-05,5.99238476e-01,5.13774073e-02,0.00000000e+00
4.60000000e+04,3.04831523e-07,1.73737257e-01,1.73983665e-01,4.92816591e-04,2.38089400e-05,5.99236052e-01,5.25260960e-02,0.00000000e+00
4.70000000e+04,3.06849997e-07,1.73162917e-01,1.73410137e-01,4.94439890e-04,2.38086213e-05,5.99233611e-01,5.36747800e-02,0.00000000e+00
4.80000000e+04,3.08888559e-07,1.72588579e-01,1.72836616e-01,4.96073880e-04,2.38082997e-05,5.99231154e-01,5.48234593e-02,0.00000000e+00
4.90000000e+04,3.10947475e-07,1.72014244e-01,1.72263103e-01,4.97718669e-04,2.38079753e-05,5.99228681e-01,5.59721338e-02,0.00000000e+00
5.00000000e+04,3.13027018e-07,1.71439911e-01,1.71689598e-01,4.99374362e-04,2.38076479e-05,5.99226192e-01,5.71208036e-02,0.00000000e+00
5.10000000e+04,3.15127463e-07,1.70865581e-01,1.71116101e-01,5.01041068e-04,2.38073176e-05,5.99223686e-01,5.82694687e-02,0.00000000e+00
5.20000000e+04,3.17249091e-07,1.70291253e-01,1.70542612e-01,5.02718898e-04,2.38069844e-05,5.99221163e-01,5.94181289e-02,0.00000000e+00
5.30000000e+04,3.19392187e-07,1.69716927e-01,1.69969131e-01,5.04407962e-04,2.38066481e-05,5.99218623e-01,6.05667842e-02,0.00000000e+00
5.40000000e+04,3.21557042e-07,1.69142604e-01,1.69395658e-01,5.06108374e-04,2.38063088e-05,5.99216066e-01,6.17154347e-02,0.00000000e+00
5.50000000e+04,3.23743951e-07,1.68568284e-01,1.68822194e-01,5.07820247e-04,2.38059664e-05,5.99213492e-01,6.28640802e-02,0.00000000e+00
5.60000000e+04,3.25953214e-07,1.67993966e-01,1.68248737e-01,5.09543698e-04,2.38056209e-05,5.99210901e-01,6.40127208e-02,0.00000000e+00
5.70000000e+04,3.28185137e-07,1.67419650e-01,1.67675289e-01,5.11278844e-04,2.38052722e-05,5.99208292e-01,6.51613564e-02,0.00000000e+00
5.80000000e+04,3.30440029e-07,1.66845337e-01,1.67101850e-01,5.13025804e-04,2.38049203e-05,5.99205665e-01,6.63099870e-02,0.00000000e+00
5.90000000e+04,3.32718207e-07,1.66271026e-01,1.66528419e-01,5.14784699e-04,2.38045652e-05,5.99203020e-01,6.74586126e-02,0.00000000e+00
6.00000000e+04,3.35019992e-07,1.65696719e-01,1.65954996e-01,5.16555650e-04,2.38042067e-05,5.99200357e-01,6.86072330e-02,0.00000000e+00
