Fwd_Rate        Rev_Rate        Net_Rate        PEI             Reaction_string                 
2.231898e+00    0.000000e+00    2.231898e+00    1.000000e+00    cat + react1 => int1
2.231898e+00    0.000000e+00    2.231898e+00    1.000000e+00    int1 => cat + react1
1.092401e-07    0.000000e+00    1.092401e-07    1.000000e+00    int1 + react2 => int2
1.092393e-07    0.000000e+00    1.092393e-07    1.000000e+00    int2 => int1 + react2
8.030835e-13    0.000000e+00    8.030835e-13    1.000000e+00    int2 => int3
4.075924e-20    0.000000e+00    4.075924e-20    1.000000e+00    int3 => int2
8.789548e-13    0.000000e+00    8.789548e-13    1.000000e+00    int3 => cat + prod
1.070736e-14    0.000000e+00    1.070736e-14    1.000000e+00    cat + prod => int3
