t(s),Temperature,Pressure,Density,Mass,Volume,IntEnergy,mdot_in,mdot_out,mdot_surf,mdot
3.20000000e+04,2.98000000e+02,1.44482821e+06,1.30439725e+01,1.30439725e-05,1.00000000e-06,-1.10765966e+050.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
3.30000000e+04,2.98000000e+02,1.44340420e+06,1.30439725e+01,1.30439725e-05,1.00000000e-06,-1.10656796e+050.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
3.40000000e+04,2.98000000e+02,1.44198021e+06,1.30439725e+01,1.30439725e-05,1.00000000e-06,-1.10547627e+050.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
3.50000000e+04,2.98000000e+02,1.44055623e+06,1.30439725e+01,1.30439725e-05,1.00000000e-06,-1.10438460e+050.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
3.60000000e+04,2.98000000e+02,1.43913228e+06,1.30439725e+01,1.30439725e-05,1.00000000e-06,-1.10329294e+050.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
3.70000000e+04,2.98000000e+02,1.43770834e+06,1.30439725e+01,1.30439725e-05,1.00000000e-06,-1.10220129e+050.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
3.80000000e+04,2.98000000e+02,1.43628441e+06,1.30439725e+01,1.30439725e-05,1.00000000e-06,-1.10110966e+050.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
3.90000000e+04,2.98000000e+02,1.43486051e+06,1.30439725e+01,1.30439725e-05,1.00000000e-06,-1.10001804e+050.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
4.00000000e+04,2.98000000e+02,1.43343662e+06,1.30439725e+01,1.30439725e-05,1.00000000e-06,-1.09892644e+050.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
4.10000000e+04,2.98000000e+02,1.43201275e+06,1.30439725e+01,1.30439725e-05,1.00000000e-06,-1.09783484e+050.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
4.20000000e+04,2.98000000e+02,1.43058890e+06,1.30439725e+01,1.30439725e-05,1.00000000e-06,-1.09674327e+050.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
4.30000000e+04,2.98000000e+02,1.42916507e+06,1.30439725e+01,1.30439725e-05,1.00000000e-06,-1.09565170e+050.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
4.40000000e+04,2.98000000e+02,1.42774125e+06,1.30439725e+01,1.30439725e-05,1.00000000e-06,-1.09456015e+050.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
4.50000000e+04,2.98000000e+02,1.42631746e+06,1.30439725e+01,1.30439725e-05,1.00000000e-06,-1.09346862e+050.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
4.60000000e+04,2.98000000e+02,1.42489368e+06,1.30439725e+01,1.30439725e-05,1.00000000e-06,-1.09237710e+050.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
4.70000000e+04,2.98000000e+02,1.42346992e+06,1.30439725e+01,1.30439725e-05,1.00000000e-06,-1.09128559e+050.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
4.80000000e+04,2.98000000e+02,1.42204619e+06,1.30439725e+01,1.30439725e-05,1.00000000e-06,-1.09019410e+050.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
4.90000000e+04,2.98000000e+02,1.42062247e+06,1.30439725e+01,1.30439725e-05,1.00000000e-06,-1.08910262e+050.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
5.00000000e+04,2.98000000e+02,1.41919877e+06,1.30439725e+01,1.30439725e-05,1.00000000e-06,-1.08801116e+050.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
5.10000000e+04,2.98000000e+02,1.41777509e+06,1.30439725e+01,1.30439725e-05,1.00000000e-06,-1.08691971e+050.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
5.20000000e+04,2.98000000e+02,1.41635143e+06,1.30439725e+01,1.30439725e-05,1.00000000e-06,-1.08582828e+050.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
5.30000000e+04,2.98000000e+02,1.41492779e+06,1.30439725e+01,1.30439725e-05,1.00000000e-06,-1.08473687e+050.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
5.40000000e+04,2.98000000e+02,1.41350417e+06,1.30439725e+01,1.30439725e-05,1.00000000e-06,-1.08364547e+050.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
5.50000000e+04,2.98000000e+02,1.41208057e+06,1.30439725e+01,1.30439725e-05,1.00000000e-06,-1.08255408e+050.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
5.60000000e+04,2.98000000e+02,1.41065699e+06,1.30439725e+01,1.30439725e-05,1.00000000e-06,-1.08146271e+050.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
5.70000000e+04,2.98000000e+02,1.40923343e+06,1.30439725e+01,1.30439725e-05,1.00000000e-06,-1.08037136e+050.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
