t(s),cat,react1,react2,int1,int2,int3,prod,water
3.40000000e+04,4.85627886e-07,3.10965432e-01,3.11373559e-01,4.08126527e-04,1.36649536e-05,3.43890701e-01,3.33480314e-02,0.00000000e+00
3.50000000e+04,4.89204205e-07,3.10283030e-01,3.10692855e-01,4.09824780e-04,1.36782963e-05,3.44229335e-01,3.43707866e-02,0.00000000e+00
3.60000000e+04,4.92817264e-07,3.09599278e-01,3.10010813e-01,4.11534604e-04,1.36916637e-05,3.44568628e-01,3.53955615e-02,0.00000000e+00
3.70000000e+04,4.96467552e-07,3.08914172e-01,3.09327428e-01,4.13256111e-04,1.37050560e-05,3.44908580e-01,3.64223621e-02,0.00000000e+00
3.80000000e+04,5.00155566e-07,3.08227707e-01,3.08642697e-01,4.14989417e-04,1.37184733e-05,3.45249194e-01,3.74511945e-02,0.00000000e+00
3.90000000e+04,5.03881810e-07,3.07539880e-01,3.07956615e-01,4.16734635e-04,1.37319156e-05,3.45590470e-01,3.84820645e-02,0.00000000e+00
4.00000000e+04,5.07646799e-07,3.06850686e-01,3.07269178e-01,4.18491883e-04,1.37453829e-05,3.45932412e-01,3.95149782e-02,0.00000000e+00
4.10000000e+04,5.11451054e-07,3.06160122e-01,3.06580384e-01,4.20261279e-04,1.37588753e-05,3.46275021e-01,4.05499416e-02,0.00000000e+00
4.20000000e+04,5.15295106e-07,3.05468184e-01,3.05890227e-01,4.22042943e-04,1.37723929e-05,3.46618298e-01,4.15869608e-02,0.00000000e+00
4.30000000e+04,5.19179493e-07,3.04774866e-01,3.05198703e-01,4.23836997e-04,1.37859357e-05,3.46962247e-01,4.26260418e-02,0.00000000e+00
4.40000000e+04,5.23104765e-07,3.04080166e-01,3.04505810e-01,4.25643563e-04,1.37995038e-05,3.47306867e-01,4.36671907e-02,0.00000000e+00
4.50000000e+04,5.27071479e-07,3.03384079e-01,3.03811542e-01,4.27462767e-04,1.38130972e-05,3.47652163e-01,4.47104137e-02,0.00000000e+00
4.60000000e+04,5.31080202e-07,3.02686601e-01,3.03115896e-01,4.29294734e-04,1.38267160e-05,3.47998134e-01,4.57557168e-02,0.00000000e+00
4.70000000e+04,5.35131511e-07,3.01987728e-01,3.02418867e-01,4.31139592e-04,1.38403602e-05,3.48344784e-01,4.68031064e-02,0.00000000e+00
4.80000000e+04,5.39225991e-07,3.01287455e-01,3.01720452e-01,4.32997471e-04,1.38540299e-05,3.48692113e-01,4.78525885e-02,0.00000000e+00
4.90000000e+04,5.43364240e-07,3.00585779e-01,3.01020647e-01,4.34868503e-04,1.38677252e-05,3.49040125e-01,4.89041693e-02,0.00000000e+00
5.00000000e+04,5.47546864e-07,2.99882695e-01,3.00319448e-01,4.36752820e-04,1.38814460e-05,3.49388821e-01,4.99578552e-02,0.00000000e+00
5.10000000e+04,5.51774479e-07,2.99178199e-01,2.99616849e-01,4.38650557e-04,1.38951925e-05,3.49738202e-01,5.10136524e-02,0.00000000e+00
5.20000000e+04,5.56047713e-07,2.98472287e-01,2.98912849e-01,4.40561851e-04,1.39089647e-05,3.50088271e-01,5.20715671e-02,0.00000000e+00
5.30000000e+04,5.60367204e-07,2.97764954e-01,2.98207441e-01,4.42486840e-04,1.39227626e-05,3.50439029e-01,5.31316057e-02,0.00000000e+00
5.40000000e+04,5.64733601e-07,2.97056197e-01,2.97500622e-01,4.44425665e-04,1.39365864e-05,3.50790479e-01,5.41937745e-02,0.00000000e+00
5.50000000e+04,5.69147566e-07,2.96346010e-01,2.96792389e-01,4.46378467e-04,1.39504360e-05,3.51142623e-01,5.52580799e-02,0.00000000e+00
5.60000000e+04,5.73609770e-07,2.95634391e-01,2.96082736e-01,4.48345392e-04,1.39643116e-05,3.51495462e-01,5.63245282e-02,0.00000000e+00
5.70000000e+04,5.78120896e-07,2.94921333e-01,2.95371660e-01,4.50326584e-04,1.39782131e-05,3.51848998e-01,5.73931259e-02,0.00000000e+00
5.80000000e+04,5.82681641e-07,2.94206834e-01,2.94659156e-01,4.52322193e-04,1.39921406e-05,3.52203234e-01,5.84638795e-02,0.00000000e+00
5.90000000e+04,5.87292712e-07,2.93490888e-01,2.93945221e-01,4.54332368e-04,1.40060942e-05,3.52558170e-01,5.95367952e-02,0.00000000e+00
6.00000000e+04,5.91954830e-07,2.92773492e-01,2.93229849e-01,4.56357261e-04,1.40200739e-05,3.52913810e-01,6.06118798e-02,0.00000000e+00
6.10000000e+04,5.96668728e-07,2.92054640e-01,2.92513037e-01,4.58397027e-04,1.40340798e-05,3.53270155e-01,6.16891396e-02,0.00000000e+00
6.20000000e+04,6.01435152e-07,2.91334329e-01,2.91794781e-01,4.60451822e-04,1.40481119e-05,3.53627207e-01,6.27685812e-02,0.00000000e+00
6.30000000e+04,6.06254861e-07,2.90612554e-01,2.91075076e-01,4.62521805e-04,1.40621703e-05,3.53984969e-01,6.38502111e-02,0.00000000e+00
6.40000000e+04,6.11128629e-07,2.89889311e-01,2.90353918e-01,4.64607136e-04,1.40762551e-05,3.54343441e-01,6.49340360e-02,0.00000000e+00
6.50000000e+04,6.16057242e-07,2.89164594e-01,2.89631302e-01,4.66707978e-04,1.40903662e-05,3.54702626e-01,6.60200624e-02,0.00000000e+00
6.60000000e+04,6.21041501e-07,2.88438401e-01,2.88907225e-01,4.68824497e-04,1.41045037e-05,3.55062527e-01,6.71082970e-02,0.00000000e+00
6.70000000e+04,6.26082222e-07,2.87710725e-01,2.88181682e-01,4.70956859e-04,1.41186678e-05,3.55423144e-01,6.81987465e-02,0.00000000e+00
6.80000000e+04,6.31180235e-07,2.86981564e-01,2.87454669e-01,4.73105236e-04,1.41328583e-05,3.55784481e-01,6.92914175e-02,0.00000000e+00
6.90000000e+04,6.36336385e-07,2.86250911e-01,2.86726181e-01,4.75269799e-04,1.41470754e-05,3.56146538e-01,7.03863168e-02,0.00000000e+00
7.00000000e+04,6.41551533e-07,2.85518763e-01,2.85996214e-01,4.77450724e-04,1.41613192e-05,3.56509319e-01,7.14834511e-02,0.00000000e+00
7.10000000e+04,6.46826555e-07,2.84785115e-01,2.85264763e-01,4.79648187e-04,1.41755896e-05,3.56872824e-01,7.25828271e-02,0.00000000e+00
7.20000000e+04,6.52162344e-07,2.84049962e-01,2.84531825e-01,4.81862368e-04,1.41898868e-05,3.57237057e-01,7.36844517e-02,0.00000000e+00
7.30000000e+04,6.57559809e-07,2.83313300e-01,2.83797394e-01,4.84093449e-04,1.42042108e-05,3.57602019e-01,7.47883317e-02,0.00000000e+00
7.40000000e+04,6.63019875e-07,2.82575125e-01,2.83061466e-01,4.86341616e-04,1.42185615e-05,3.57967712e-01,7.58944738e-02,0.00000000e+00
7.50000000e+04,6.68543486e-07,2.81835430e-01,2.82324037e-01,4.88607057e-04,1.42329391e-05,3.58334138e-01,7.70028851e-02,0.00000000e+00
7.60000000e+04,6.74131602e-07,2.81094213e-01,2.81585103e-01,4.90889961e-04,1.42473437e-05,3.58701300e-01,7.81135724e-02,0.00000000e+00
7.70000000e+04,6.79785202e-07,2.80351468e-01,2.80844659e-01,4.93190521e-04,1.42617752e-05,3.59069199e-01,7.92265426e-02,0.00000000e+00
7.80000000e+04,6.85505281e-07,2.79607190e-01,2.80102699e-01,4.95508935e-04,1.42762337e-05,3.59437837e-01,8.03418026e-02,0.00000000e+00
7.90000000e+04,6.91292857e-07,2.78861376e-01,2.79359221e-01,4.97845399e-04,1.42907193e-05,3.59807216e-01,8.14593595e-02,0.00000000e+00
8.00000000e+04,6.97148964e-07,2.78114019e-01,2.78614219e-01,5.00200117e-04,1.43052320e-05,3.60177339e-01,8.25792203e-02,0.00000000e+00
8.10000000e+04,7.03074655e-07,2.77365115e-01,2.77867689e-01,5.02573293e-04,1.43197718e-05,3.60548208e-01,8.37013919e-02,0.00000000e+00
8.20000000e+04,7.09071006e-07,2.76614660e-01,2.77119625e-01,5.04965134e-04,1.43343388e-05,3.60919824e-01,8.48258815e-02,0.00000000e+00
8.30000000e+04,7.15139111e-07,2.75862649e-01,2.76370025e-01,5.07375852e-04,1.43489331e-05,3.61292190e-01,8.59526962e-02,0.00000000e+00
8.40000000e+04,7.21280086e-07,2.75109077e-01,2.75618882e-01,5.09805660e-04,1.43635546e-05,3.61665308e-01,8.70818430e-02,0.00000000e+00
8.50000000e+04,7.27495069e-07,2.74353938e-01,2.74866193e-01,5.12254776e-04,1.43782034e-05,3.62039179e-01,8.82133291e-02,0.00000000e+00
8.60000000e+04,7.33785219e-07,2.73597229e-01,2.74111952e-01,5.14723419e-04,1.43928796e-05,3.62413807e-01,8.93471617e-02,0.00000000e+00
8.70000000e+04,7.40151718e-07,2.72838944e-01,2.73356156e-01,5.17211813e-04,1.44075832e-05,3.62789192e-01,9.04833480e-02,0.00000000e+00
8.80000000e+04,7.46595770e-07,2.72079079e-01,2.72598799e-01,5.19720187e-04,1.44223142e-05,3.63165338e-01,9.16218951e-02,0.00000000e+00
8.90000000e+04,7.53118604e-07,2.71317628e-01,2.71839877e-01,5.22248769e-04,1.44370727e-05,3.63542246e-01,9.27628105e-02,0.00000000e+00
9.00000000e+04,7.59721471e-07,2.70554586e-01,2.71079384e-01,5.24797795e-04,1.44518588e-05,3.63919919e-01,9.39061013e-02,0.00000000e+00
9.10000000e+04,7.66405650e-07,2.69789950e-01,2.70317317e-01,5.27367501e-04,1.44666723e-05,3.64298358e-01,9.50517748e-02,0.00000000e+00
9.20000000e+04,7.73172442e-07,2.69023713e-01,2.69553671e-01,5.29958129e-04,1.44815135e-05,3.64677565e-01,9.61998385e-02,0.00000000e+00
9.30000000e+04,7.80023176e-07,2.68255870e-01,2.68788440e-01,5.32569924e-04,1.44963824e-05,3.65057544e-01,9.73502996e-02,0.00000000e+00
9.40000000e+04,7.86959204e-07,2.67486418e-01,2.68021621e-01,5.35203134e-04,1.45112789e-05,3.65438295e-01,9.85031656e-02,0.00000000e+00
9.50000000e+04,7.93981910e-07,2.66715349e-01,2.67253207e-01,5.37858013e-04,1.45262031e-05,3.65819821e-01,9.96584438e-02,0.00000000e+00
9.60000000e+04,8.01092701e-07,2.65942661e-01,2.66483196e-01,5.40534816e-04,1.45411550e-05,3.66202125e-01,1.00816142e-01,0.00000000e+00
9.70000000e+04,8.08293016e-07,2.65168347e-01,2.65711581e-01,5.43233804e-04,1.45561347e-05,3.66585207e-01,1.01976267e-01,0.00000000e+00
9.80000000e+04,8.15584321e-07,2.64392402e-01,2.64938357e-01,5.45955242e-04,1.45711422e-05,3.66969072e-01,1.03138827e-01,0.00000000e+00
9.90000000e+04,8.22968111e-07,2.63614821e-01,2.64163521e-01,5.48699398e-04,1.45861776e-05,3.67353720e-01,1.04303830e-01,0.00000000e+00
