z(m^3),N2,NH3,H2
0.00000000e+00,0.00000000e+00,1.00000000e+00,0.00000000e+00
5.00000000e-08,1.15896716e-02,9.53641314e-01,3.47690147e-02
1.50000000e-07,1.97008919e-02,9.21196432e-01,5.91026757e-02
2.50000000e-07,2.61200430e-02,8.95519828e-01,7.83601291e-02
3.50000000e-07,3.15056317e-02,8.73977473e-01,9.45168952e-02
4.50000000e-07,3.61848628e-02,8.55260549e-01,1.08554588e-01
5.50000000e-07,4.03463932e-02,8.38614427e-01,1.21039180e-01
6.50000000e-07,4.41096455e-02,8.23561418e-01,1.32328937e-01
7.50000000e-07,4.75553546e-02,8.09778582e-01,1.42666064e-01
8.50000000e-07,5.07408614e-02,7.97036555e-01,1.52222584e-01
9.50000000e-07,5.37084909e-02,7.85166036e-01,1.61125473e-01
