z(m^3),N2(T),N(T),H(T),NH3(T),NH2(T),NH(T),RU(T),N2(S),N(S),H(S),NH3(S),NH2(S),NH(S),RU(S)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.75454429e+00,0.00000000e+00,0.00000000e+00,-1.75454429e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,3.58070264e-02,0.00000000e+00,0.00000000e+00,-3.58070264e-02
5.00000000e-08,-4.58275430e-19,1.70018703e-20,-5.82450295e-17,-1.80319585e-15,1.19196726e-21,-1.82112084e-20,1.86189917e-15,-3.78914895e-20,-1.08261399e-20,9.36500802e-20,6.83273421e-17,-1.85288457e-21,1.16467030e-20,-6.83820683e-17
1.50000000e-07,4.31896227e-19,-3.03120335e-20,-8.02360608e-16,-2.47111003e-15,9.98655154e-21,2.03287907e-20,3.27303873e-15,1.42986441e-20,-6.15091503e-21,-1.23719750e-19,-2.41457330e-18,1.53524722e-21,5.34689548e-21,2.52326483e-18
2.50000000e-07,4.22041011e-18,-9.83931339e-22,1.15528223e-16,1.09520383e-16,-1.14068206e-21,2.11758237e-21,-2.29269010e-16,-2.07963959e-19,4.26990632e-21,-4.56233121e-19,-6.69132735e-17,-7.41153829e-22,-3.28225267e-21,6.75772216e-17
3.50000000e-07,-1.15509043e-17,1.84668072e-20,-7.35424754e-16,2.02150325e-15,3.97873875e-21,-2.24463731e-20,-1.27452759e-15,-2.21655453e-19,-1.36633694e-20,-3.95458507e-19,2.99323444e-17,3.07049443e-21,1.18584613e-20,-2.93164985e-17
4.50000000e-07,-1.04440072e-18,9.65799540e-20,-8.94280875e-17,-9.13845169e-16,-8.51334286e-21,-8.80914265e-20,1.00431768e-15,-1.50761938e-20,9.82359695e-21,-7.34801082e-19,-6.63207739e-17,-8.47032947e-22,-1.12231866e-20,6.70728995e-17
5.50000000e-07,-1.05172171e-17,1.44644938e-20,-1.83946595e-15,-1.08918858e-15,2.02559988e-20,-3.47283508e-20,2.93917176e-15,7.42353241e-20,3.14824941e-21,-3.94929112e-20,-1.70593494e-17,-5.18807680e-21,-6.35274710e-22,1.70272813e-17
6.50000000e-07,-5.52811121e-18,4.13652345e-21,-1.16430515e-16,3.88118040e-17,-7.54388719e-22,-3.38813179e-21,8.31468287e-17,-6.38426269e-20,-6.99298490e-21,-3.39236695e-19,1.05374075e-17,6.35274710e-22,4.97631857e-21,-1.01329460e-17
7.50000000e-07,1.43943320e-17,-1.75891065e-19,-2.57833556e-15,-9.16967076e-16,-9.61680180e-21,1.85500215e-19,3.48090831e-15,-3.70411478e-20,-2.57418607e-21,-4.99220043e-19,-3.67880173e-17,1.79994501e-21,0.00000000e+00,3.73250528e-17
8.50000000e-07,-1.14861710e-18,6.85712048e-21,2.08699588e-17,3.00528150e-17,7.61006164e-22,-7.62329653e-21,-4.97741516e-17,7.84030736e-20,-9.84593083e-21,2.23404940e-20,3.75745933e-17,2.22346149e-21,6.45862622e-21,-3.76741726e-17
9.50000000e-07,-5.52125585e-18,-2.79793842e-21,-5.37671369e-18,-7.22242098e-17,1.94552880e-21,8.47032947e-22,8.31221845e-17,-1.07976021e-20,-4.27652377e-22,-1.20066920e-19,-3.88110496e-18,-2.11758237e-22,2.11758237e-22,4.01239838e-18
