z(m^3),N2(T),N(T),H(T),NH3(T),NH2(T),NH(T),RU(T),N2(S),N(S),H(S),NH3(S),NH2(S),NH(S),RU(S)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.00000000e+00
5.00000000e-08,1.10722701e-06,3.45727481e-01,7.24501439e-03,4.53396490e-07,5.47220307e-06,9.46577688e-04,6.46073894e-01,2.17902101e-07,3.66930623e-01,5.10546790e-03,6.59176894e-06,2.08198026e-02,3.71851690e-04,6.06765445e-01
1.50000000e-07,1.90103682e-06,3.35844398e-01,1.03735079e-02,4.98066997e-07,7.96013446e-06,1.20862817e-03,6.52563106e-01,3.83263049e-07,3.41043876e-01,8.73297810e-03,9.22834346e-06,2.19057107e-02,4.58281164e-04,6.27849542e-01
2.50000000e-07,2.54226208e-06,3.27463582e-01,1.29463404e-02,5.40781326e-07,9.24276412e-06,1.36655883e-03,6.58211193e-01,5.17520318e-07,3.25985393e-01,1.17308747e-02,1.10774228e-05,2.23189024e-02,5.10080005e-04,6.39443155e-01
3.50000000e-07,3.08833585e-06,3.20381503e-01,1.52155349e-02,5.79257807e-07,9.96677715e-06,1.47719373e-03,6.62912134e-01,6.31746510e-07,3.15469930e-01,1.43162636e-02,1.24916076e-05,2.25041909e-02,5.46561440e-04,6.47149930e-01
4.50000000e-07,3.56797455e-06,3.14323512e-01,1.72707606e-02,6.13437370e-07,1.04031568e-05,1.56109541e-03,6.66830047e-01,7.31906228e-07,3.07418615e-01,1.66097867e-02,1.36301895e-05,2.25832901e-02,5.74414715e-04,6.52799532e-01
5.50000000e-07,3.99802298e-06,3.09062577e-01,1.91602984e-02,6.43786448e-07,1.06779746e-05,1.62797665e-03,6.70133828e-01,8.21576340e-07,3.00902164e-01,1.86846987e-02,1.45783835e-05,2.26044791e-02,5.96752339e-04,6.57196506e-01
6.50000000e-07,4.38934535e-06,3.04427691e-01,2.09156053e-02,6.70844551e-07,1.08554221e-05,1.68314592e-03,6.72957643e-01,9.03076283e-07,2.95429140e-01,2.05888186e-02,1.53870770e-05,2.25909568e-02,6.15271106e-04,6.60759524e-01
7.50000000e-07,4.74941292e-06,3.00292281e-01,2.25591411e-02,6.95100103e-07,1.09707730e-05,1.72979874e-03,6.75402364e-01,9.78000478e-07,2.90709710e-01,2.23551532e-02,1.60890912e-05,2.25552976e-02,6.30995275e-04,6.63731777e-01
8.50000000e-07,5.08361121e-06,2.96562090e-01,2.41077696e-02,7.16965237e-07,1.10446822e-05,1.76999789e-03,6.77543297e-01,1.04749554e-06,2.86559262e-01,2.40075052e-02,1.67068387e-05,2.25049086e-02,6.44589269e-04,6.66265981e-01
9.50000000e-07,5.39596609e-06,2.93165927e-01,2.55745717e-02,7.36779932e-07,1.10899008e-05,1.80514772e-03,6.79437131e-01,1.11241613e-06,2.82853243e-01,2.55636528e-02,1.72563135e-05,2.24444292e-02,6.56507918e-04,6.68463799e-01
