t(s),Temperature,Pressure,Density,Mass,Volume,IntEnergy,mdot_in,mdot_out,mdot_surf,mdot
5.50000000e-07,9.00000000e+02,9.41079764e+04,1.13359447e-01,1.13359447e-07,1.00000000e-06,3.20660056e+06,-1.15305513e-07,-1.15233339e-07,-4.69734628e-06,-4.69727411e-06,
5.95000000e-07,9.00000000e+02,9.41072817e+04,1.13359236e-01,1.13359236e-07,1.00000000e-06,3.20657971e+06,-1.15305513e-07,-1.15233334e-07,-3.71575275e-06,-3.71568057e-06,
6.40000000e-07,9.00000000e+02,9.41067710e+04,1.13359075e-01,1.13359075e-07,1.00000000e-06,3.20656458e+06,-1.15305513e-07,-1.15233329e-07,-2.97771558e-06,-2.97764339e-06,
6.85000000e-07,9.00000000e+02,9.41063940e+04,1.13358950e-01,1.13358950e-07,1.00000000e-06,3.20655360e+06,-1.15305513e-07,-1.15233326e-07,-2.38114866e-06,-2.38107648e-06,
7.30000000e-07,9.00000000e+02,9.41061152e+04,1.13358852e-01,1.13358852e-07,1.00000000e-06,3.20654569e+06,-1.15305513e-07,-1.15233322e-07,-1.60971466e-06,-1.60964247e-06,
7.75000000e-07,9.00000000e+02,9.41059093e+04,1.13358773e-01,1.13358773e-07,1.00000000e-06,3.20654004e+06,-1.15305513e-07,-1.15233321e-07,-1.34980959e-06,-1.34973740e-06,
8.20000000e-07,9.00000000e+02,9.41057575e+04,1.13358709e-01,1.13358709e-07,1.00000000e-06,3.20653607e+06,-1.15305513e-07,-1.15233319e-07,-1.14993211e-06,-1.14985992e-06,
8.65000000e-07,9.00000000e+02,9.41056449e+04,1.13358656e-01,1.13358656e-07,1.00000000e-06,3.20653332e+06,-1.15305513e-07,-1.15233319e-07,-1.00201611e-06,-1.00194392e-06,
9.10000000e-07,9.00000000e+02,9.41055610e+04,1.13358611e-01,1.13358611e-07,1.00000000e-06,3.20653147e+06,-1.15305513e-07,-1.15233318e-07,-8.90042240e-07,-8.89970045e-07,
9.55000000e-07,9.00000000e+02,9.41054987e+04,1.13358571e-01,1.13358571e-07,1.00000000e-06,3.20653028e+06,-1.15305513e-07,-1.15233318e-07,-8.02698436e-07,-8.02626241e-07,
1.00000000e-06,9.00000000e+02,9.41054522e+04,1.13358536e-01,1.13358536e-07,1.00000000e-06,3.20652959e+06,-1.15305513e-07,-1.15233317e-07,-7.34940070e-07,-7.34867874e-07,
1.45000000e-06,9.00000000e+02,9.41053099e+04,1.13358270e-01,1.13358270e-07,1.00000000e-06,3.20653270e+06,-1.15305513e-07,-1.15233316e-07,-5.25400618e-07,-5.25328421e-07,
1.90000000e-06,9.00000000e+02,9.41052795e+04,1.13358036e-01,1.13358036e-07,1.00000000e-06,3.20653926e+06,-1.15305513e-07,-1.15233315e-07,-5.18250012e-07,-5.18177815e-07,
2.35000000e-06,9.00000000e+02,9.41052546e+04,1.13357803e-01,1.13357803e-07,1.00000000e-06,3.20654596e+06,-1.15305513e-07,-1.15233315e-07,-5.17196453e-07,-5.17124255e-07,
2.80000000e-06,9.00000000e+02,9.41052296e+04,1.13357570e-01,1.13357570e-07,1.00000000e-06,3.20655265e+06,-1.15305513e-07,-1.15233315e-07,-5.17562556e-07,-5.17490359e-07,
3.25000000e-06,9.00000000e+02,9.41052048e+04,1.13357338e-01,1.13357338e-07,1.00000000e-06,3.20655932e+06,-1.15305513e-07,-1.15233315e-07,-5.15408230e-07,-5.15336032e-07,
3.70000000e-06,9.00000000e+02,9.41051800e+04,1.13357107e-01,1.13357107e-07,1.00000000e-06,3.20656596e+06,-1.15305513e-07,-1.15233314e-07,-5.14324338e-07,-5.14252140e-07,
4.15000000e-06,9.00000000e+02,9.41051549e+04,1.13356875e-01,1.13356875e-07,1.00000000e-06,3.20657258e+06,-1.15305513e-07,-1.15233314e-07,-5.12161741e-07,-5.12089543e-07,
4.60000000e-06,9.00000000e+02,9.41051298e+04,1.13356644e-01,1.13356644e-07,1.00000000e-06,3.20657918e+06,-1.15305513e-07,-1.15233314e-07,-5.12014372e-07,-5.11942173e-07,
5.05000000e-06,9.00000000e+02,9.41051046e+04,1.13356414e-01,1.13356414e-07,1.00000000e-06,3.20658574e+06,-1.15305513e-07,-1.15233313e-07,-5.11603487e-07,-5.11531288e-07,
5.50000000e-06,9.00000000e+02,9.41050793e+04,1.13356183e-01,1.13356183e-07,1.00000000e-06,3.20659229e+06,-1.15305513e-07,-1.15233313e-07,-5.11603487e-07,-5.11531288e-07,
5.95000000e-06,9.00000000e+02,9.41050540e+04,1.13355953e-01,1.13355953e-07,1.00000000e-06,3.20659881e+06,-1.15305513e-07,-1.15233313e-07,-5.10208033e-07,-5.10135833e-07,
6.40000000e-06,9.00000000e+02,9.41050285e+04,1.13355723e-01,1.13355723e-07,1.00000000e-06,3.20660531e+06,-1.15305513e-07,-1.15233313e-07,-5.10208033e-07,-5.10135833e-07,
6.85000000e-06,9.00000000e+02,9.41050030e+04,1.13355494e-01,1.13355494e-07,1.00000000e-06,3.20661179e+06,-1.15305513e-07,-1.15233312e-07,-5.08552605e-07,-5.08480405e-07,
7.30000000e-06,9.00000000e+02,9.41049775e+04,1.13355265e-01,1.13355265e-07,1.00000000e-06,3.20661824e+06,-1.15305513e-07,-1.15233312e-07,-5.08552605e-07,-5.08480405e-07,
7.75000000e-06,9.00000000e+02,9.41049518e+04,1.13355036e-01,1.13355036e-07,1.00000000e-06,3.20662467e+06,-1.15305513e-07,-1.15233311e-07,-5.05710187e-07,-5.05637986e-07,
8.20000000e-06,9.00000000e+02,9.41049261e+04,1.13354808e-01,1.13354808e-07,1.00000000e-06,3.20663107e+06,-1.15305513e-07,-1.15233311e-07,-5.05710187e-07,-5.05637986e-07,
8.65000000e-06,9.00000000e+02,9.41049003e+04,1.13354580e-01,1.13354580e-07,1.00000000e-06,3.20663745e+06,-1.15305513e-07,-1.15233311e-07,-5.05710187e-07,-5.05637986e-07,
9.10000000e-06,9.00000000e+02,9.41048745e+04,1.13354352e-01,1.13354352e-07,1.00000000e-06,3.20664381e+06,-1.15305513e-07,-1.15233311e-07,-5.02983338e-07,-5.02911136e-07,
9.55000000e-06,9.00000000e+02,9.41048485e+04,1.13354125e-01,1.13354125e-07,1.00000000e-06,3.20665014e+06,-1.15305513e-07,-1.15233311e-07,-5.02983338e-07,-5.02911136e-07,
1.00000000e-05,9.00000000e+02,9.41048225e+04,1.13353898e-01,1.13353898e-07,1.00000000e-06,3.20665645e+06,-1.15305513e-07,-1.15233311e-07,-5.02983338e-07,-5.02911136e-07,
1.45000000e-05,9.00000000e+02,9.41045584e+04,1.13351646e-01,1.13351646e-07,1.00000000e-06,3.20671829e+06,-1.15305513e-07,-1.15233308e-07,-4.95775097e-07,-4.95702892e-07,
1.90000000e-05,9.00000000e+02,9.41042870e+04,1.13349427e-01,1.13349427e-07,1.00000000e-06,3.20677784e+06,-1.15305513e-07,-1.15233304e-07,-4.86942707e-07,-4.86870499e-07,
