t(s),N2,NH3,H2
8.65000000e-05,2.69064533e-01,2.07169673e-05,7.30914750e-01
9.10000000e-05,2.69059258e-01,2.27661646e-05,7.30917976e-01
9.55000000e-05,2.69054024e-01,2.48971392e-05,7.30921079e-01
1.00000000e-04,2.69048832e-01,2.71082928e-05,7.30924060e-01
1.45000000e-04,2.68999000e-01,5.32762041e-05,7.30947723e-01
1.90000000e-04,2.68952562e-01,8.58448748e-05,7.30961593e-01
2.35000000e-04,2.68909009e-01,1.23651591e-04,7.30967339e-01
2.80000000e-04,2.68867930e-01,1.65767045e-04,7.30966303e-01
3.25000000e-04,2.68828984e-01,2.11440282e-04,7.30959576e-01
3.70000000e-04,2.68791892e-01,2.60059704e-04,7.30948048e-01
4.15000000e-04,2.68756422e-01,3.11130522e-04,7.30932448e-01
4.60000000e-04,2.68722379e-01,3.64245618e-04,7.30913375e-01
5.05000000e-04,2.68689597e-01,4.19056508e-04,7.30891347e-01
5.50000000e-04,2.68657932e-01,4.75267357e-04,7.30866801e-01
5.95000000e-04,2.68627259e-01,5.32633930e-04,7.30840107e-01
6.40000000e-04,2.68597478e-01,5.90951072e-04,7.30811571e-01
6.85000000e-04,2.68568499e-01,6.50044768e-04,7.30781456e-01
7.30000000e-04,2.68540243e-01,7.09766140e-04,7.30749991e-01
7.75000000e-04,2.68512643e-01,7.69986332e-04,7.30717370e-01
8.20000000e-04,2.68485640e-01,8.30594626e-04,7.30683766e-01
8.65000000e-04,2.68459178e-01,8.91492788e-04,7.30649329e-01
9.10000000e-04,2.68433213e-01,9.52600725e-04,7.30614187e-01
9.55000000e-04,2.68407699e-01,1.01384174e-03,7.30578459e-01
1.00000000e-03,2.68382604e-01,1.07515781e-03,7.30542238e-01
1.45000000e-03,2.68149116e-01,1.68362984e-03,7.30167254e-01
1.90000000e-03,2.67937078e-01,2.26963164e-03,7.29793290e-01
2.35000000e-03,2.67739113e-01,2.82675806e-03,7.29434129e-01
2.80000000e-03,2.67551845e-01,3.35514657e-03,7.29093008e-01
3.25000000e-03,2.67373381e-01,3.85671246e-03,7.28769907e-01
3.70000000e-03,2.67202432e-01,4.33364299e-03,7.28463925e-01
4.15000000e-03,2.67038033e-01,4.78801754e-03,7.28173949e-01
4.60000000e-03,2.66879413e-01,5.22169360e-03,7.27898894e-01
5.05000000e-03,2.66725929e-01,5.63631837e-03,7.27637753e-01
5.50000000e-03,2.66577047e-01,6.03334195e-03,7.27389611e-01
5.95000000e-03,2.66432306e-01,6.41404345e-03,7.27153650e-01
6.40000000e-03,2.66291311e-01,6.77957152e-03,7.26929118e-01
6.85000000e-03,2.66153721e-01,7.13094476e-03,7.26715334e-01
7.30000000e-03,2.66019232e-01,7.46907414e-03,7.26511693e-01
7.75000000e-03,2.65887591e-01,7.79478232e-03,7.26317627e-01
8.20000000e-03,2.65758569e-01,8.10881875e-03,7.26132612e-01
8.65000000e-03,2.65631950e-01,8.41185727e-03,7.25956192e-01
9.10000000e-03,2.65507559e-01,8.70451798e-03,7.25787923e-01
9.55000000e-03,2.65385226e-01,8.98736252e-03,7.25627412e-01
1.00000000e-02,2.65264814e-01,9.26090216e-03,7.25474284e-01
1.45000000e-02,2.64142544e-01,1.15745942e-02,7.24282862e-01
1.90000000e-02,2.63121613e-01,1.33192321e-02,7.23559155e-01
2.35000000e-02,2.62163714e-01,1.46776713e-02,7.23158615e-01
