t(s),N2(T),N(T),H(T),NH3(T),NH2(T),NH(T),RU(T),N2(S),N(S),H(S),NH3(S),NH2(S),NH(S),RU(S)
1.00000000e-07,1.42650183e-05,1.31242993e-09,6.14103909e-01,7.09644682e-18,8.93834389e-16,2.17932483e-12,3.85881825e-01,5.08867229e-06,2.69925834e-04,3.42720148e-01,7.55289813e-14,6.94291794e-09,2.40243343e-07,6.57004591e-01
1.45000000e-07,1.42661309e-05,1.84394749e-09,6.14073538e-01,5.24273927e-17,4.55704492e-16,4.22356408e-12,3.85912194e-01,4.48422581e-06,3.40485363e-04,4.20697116e-01,3.57590206e-13,2.66896316e-08,5.00666582e-07,5.78957387e-01
1.90000000e-07,1.42669116e-05,2.37495582e-09,6.14052220e-01,2.03294119e-16,7.26765612e-16,6.84528254e-12,3.85933511e-01,4.06402203e-06,3.96711831e-04,4.74897374e-01,9.92207685e-13,6.54338985e-08,8.07521425e-07,5.24700977e-01
2.35000000e-07,1.42674770e-05,2.90548559e-09,6.14036756e-01,5.53103157e-16,1.06150122e-15,9.99686680e-12,3.85948974e-01,3.76700760e-06,4.43860418e-04,5.13199875e-01,2.06027567e-12,1.25450440e-07,1.13492570e-06,4.86351237e-01
2.80000000e-07,1.42678862e-05,3.43556593e-09,6.14025537e-01,1.20566655e-15,1.44633671e-15,1.36340787e-11,3.85960192e-01,3.55440710e-06,4.85063086e-04,5.40608615e-01,3.57741252e-12,2.06367276e-07,1.46608777e-06,4.58901095e-01
3.25000000e-07,1.42681671e-05,3.96522735e-09,6.14017801e-01,2.26249232e-15,1.88492334e-15,1.77163586e-11,3.85967927e-01,3.40130561e-06,5.22204165e-04,5.60338911e-01,5.50700763e-12,3.06003484e-07,1.79073899e-06,4.39133387e-01
3.70000000e-07,1.42683764e-05,4.49449970e-09,6.14012016e-01,3.81275293e-15,2.36396290e-15,2.22065218e-11,3.85973711e-01,3.29041943e-06,5.56541550e-04,5.74621216e-01,7.79505087e-12,4.21316706e-07,2.10312252e-06,4.24816427e-01
4.15000000e-07,1.42685279e-05,5.02341189e-09,6.14007800e-01,5.92861763e-15,2.88304997e-15,2.70705161e-11,3.85977926e-01,3.20953920e-06,5.88940635e-04,5.85031196e-01,1.03606172e-11,5.49004081e-07,2.40059827e-06,4.14373704e-01
4.60000000e-07,1.42686378e-05,5.55199145e-09,6.14004713e-01,8.66438823e-15,3.43904481e-15,3.22771664e-11,3.85981013e-01,3.15046672e-06,6.19948045e-04,5.92626830e-01,1.31353021e-11,6.85689770e-07,2.68207353e-06,4.06746704e-01
5.05000000e-07,1.42687170e-05,6.08026437e-09,6.14002462e-01,1.20585664e-14,4.02894433e-15,3.77978754e-11,3.85983263e-01,3.10718206e-06,6.49965201e-04,5.98185005e-01,1.60548063e-11,8.28479229e-07,2.94854267e-06,4.01158146e-01
5.50000000e-07,1.42687741e-05,6.60825493e-09,6.14000809e-01,1.61346390e-14,4.64996534e-15,4.36064446e-11,3.85984916e-01,3.07539348e-06,6.79270237e-04,6.02259582e-01,1.90601329e-11,9.74827878e-07,3.20091258e-06,3.97053897e-01
5.95000000e-07,1.42688149e-05,7.13598580e-09,6.13999599e-01,2.09040189e-14,5.29956043e-15,4.96788693e-11,3.85986125e-01,3.05205149e-06,7.08054863e-04,6.05244106e-01,2.21114987e-11,1.12264906e-06,3.44064848e-06,3.94040224e-01
6.40000000e-07,1.42688439e-05,7.66347799e-09,6.13998712e-01,2.63694221e-14,5.97538663e-15,5.59931480e-11,3.85987011e-01,3.03489023e-06,7.36462392e-04,6.07430993e-01,2.51728660e-11,1.27039657e-06,3.66957855e-06,3.91824570e-01
6.85000000e-07,1.42688642e-05,8.19075096e-09,6.13998060e-01,3.25272913e-14,6.67529340e-15,6.25291159e-11,3.85987663e-01,3.02222088e-06,7.64600523e-04,6.09038185e-01,2.82245323e-11,1.41699959e-06,3.88954997e-06,3.90188885e-01
7.30000000e-07,1.42688781e-05,8.71782269e-09,6.13997580e-01,3.93682682e-14,7.39730572e-15,6.92682955e-11,3.85988142e-01,3.01285036e-06,7.92542273e-04,6.10219661e-01,3.12386913e-11,1.56156834e-06,4.10159095e-06,3.88979121e-01
7.75000000e-07,1.42688873e-05,9.24470978e-09,6.13997229e-01,4.68788150e-14,8.13960980e-15,7.61937543e-11,3.85988492e-01,3.00593340e-06,8.20337288e-04,6.11084502e-01,3.42092711e-11,1.70340639e-06,4.30653007e-06,3.88086145e-01
8.20000000e-07,1.42688930e-05,9.77142750e-09,6.13996973e-01,5.50442940e-14,8.90054241e-15,8.32899737e-11,3.85988748e-01,3.00082989e-06,8.48023694e-04,6.11715315e-01,3.71353944e-11,1.84221044e-06,4.50578584e-06,3.87427312e-01
8.65000000e-07,1.42688962e-05,1.02979899e-08,6.13996787e-01,6.38502532e-14,9.67857825e-15,9.05427305e-11,3.85988934e-01,2.99704557e-06,8.75632117e-04,6.12175888e-01,4.00126565e-11,1.97797773e-06,4.70074041e-06,3.86938804e-01
9.10000000e-07,1.42688975e-05,1.08244099e-08,6.13996650e-01,7.32812865e-14,1.04723181e-14,9.79389894e-11,3.85989070e-01,2.99422833e-06,9.03184012e-04,6.12511660e-01,4.28348145e-11,2.11066757e-06,4.89182522e-06,3.86575159e-01
9.55000000e-07,1.42688974e-05,1.13506995e-08,6.13996552e-01,8.33211717e-14,1.12804783e-14,1.05466804e-10,3.85989168e-01,2.99213310e-06,9.30693310e-04,6.12754259e-01,4.56061302e-11,2.24022108e-06,5.07931191e-06,3.86304736e-01
1.00000000e-06,1.42688963e-05,1.18768695e-08,6.13996481e-01,9.39551400e-14,1.21018821e-14,1.13115227e-10,3.85989238e-01,2.99057150e-06,9.58170447e-04,6.12927997e-01,4.83356108e-11,2.36681360e-06,5.26413312e-06,3.86103211e-01
1.45000000e-06,1.42688644e-05,1.71338387e-08,6.13996341e-01,2.30448933e-13,2.08462545e-14,1.94389812e-10,3.85989373e-01,2.98578473e-06,1.23223078e-03,6.13268068e-01,7.39012585e-11,3.51414755e-06,7.03167368e-06,3.85486170e-01
