t(s),N2,NH3,H2
8.65000000e-05,8.36443990e-01,3.91535925e-05,1.63516860e-01
9.10000000e-05,8.36437465e-01,4.30269372e-05,1.63519512e-01
9.55000000e-05,8.36430854e-01,4.70549184e-05,1.63522095e-01
1.00000000e-04,8.36424160e-01,5.12345175e-05,1.63524609e-01
1.45000000e-04,8.36353018e-01,1.00701806e-04,1.63546285e-01
1.90000000e-04,8.36275302e-01,1.62275509e-04,1.63562427e-01
2.35000000e-04,8.36192283e-01,2.33757491e-04,1.63573964e-01
2.80000000e-04,8.36104972e-01,3.13389921e-04,1.63581642e-01
3.25000000e-04,8.36014183e-01,3.99751690e-04,1.63586069e-01
3.70000000e-04,8.35920575e-01,4.91684976e-04,1.63587745e-01
4.15000000e-04,8.35824677e-01,5.88252771e-04,1.63587074e-01
4.60000000e-04,8.35726926e-01,6.88683883e-04,1.63584395e-01
5.05000000e-04,8.35627690e-01,7.92318115e-04,1.63579996e-01
5.50000000e-04,8.35527284e-01,8.98594963e-04,1.63574125e-01
5.95000000e-04,8.35425963e-01,1.00705164e-03,1.63566990e-01
6.40000000e-04,8.35323942e-01,1.11729936e-03,1.63558763e-01
6.85000000e-04,8.35221404e-01,1.22900835e-03,1.63549592e-01
7.30000000e-04,8.35118501e-01,1.34189653e-03,1.63539607e-01
7.75000000e-04,8.35015367e-01,1.45571973e-03,1.63528918e-01
8.20000000e-04,8.34912114e-01,1.57026822e-03,1.63517622e-01
8.65000000e-04,8.34808843e-01,1.68535597e-03,1.63505806e-01
9.10000000e-04,8.34705632e-01,1.80083129e-03,1.63493541e-01
9.55000000e-04,8.34602559e-01,1.91654903e-03,1.63480896e-01
1.00000000e-03,8.34499681e-01,2.03239936e-03,1.63467924e-01
1.45000000e-03,8.33490042e-01,3.18152752e-03,1.63328435e-01
1.90000000e-03,8.32527400e-01,4.28732217e-03,1.63185283e-01
2.35000000e-03,8.31615412e-01,5.33782550e-03,1.63046767e-01
2.80000000e-03,8.30751413e-01,6.33343999e-03,1.62915151e-01
3.25000000e-03,8.29931315e-01,7.27790312e-03,1.62790786e-01
3.70000000e-03,8.29151092e-01,8.17544546e-03,1.62673467e-01
4.15000000e-03,8.28407104e-01,9.03007694e-03,1.62562824e-01
4.60000000e-03,8.27696168e-01,9.84537541e-03,1.62458461e-01
5.05000000e-03,8.27015495e-01,1.06245110e-02,1.62359998e-01
5.50000000e-03,8.26362650e-01,1.13702730e-02,1.62267081e-01
5.95000000e-03,8.25735494e-01,1.20851207e-02,1.62179390e-01
6.40000000e-03,8.25132121e-01,1.27712607e-02,1.62096623e-01
6.85000000e-03,8.24550848e-01,1.34306489e-02,1.62018508e-01
7.30000000e-03,8.23990170e-01,1.40650341e-02,1.61944800e-01
7.75000000e-03,8.23448746e-01,1.46759938e-02,1.61875265e-01
8.20000000e-03,8.22925355e-01,1.52649640e-02,1.61809685e-01
8.65000000e-03,8.22418893e-01,1.58332361e-02,1.61747875e-01
9.10000000e-03,8.21928360e-01,1.63819964e-02,1.61689648e-01
9.55000000e-03,8.21452844e-01,1.69123197e-02,1.61634841e-01
1.00000000e-02,8.20991528e-01,1.74251831e-02,1.61583293e-01
1.45000000e-02,8.17015949e-01,2.17652158e-02,1.61218840e-01
1.90000000e-02,8.13889251e-01,2.50468435e-02,1.61063910e-01
2.35000000e-02,8.11329983e-01,2.76151322e-02,1.61054889e-01
2.80000000e-02,8.09173368e-01,2.96739185e-02,1.61152718e-01
3.25000000e-02,8.07309674e-01,3.13621934e-02,1.61328137e-01
3.70000000e-02,8.05672046e-01,3.27666443e-02,1.61561313e-01
4.15000000e-02,8.04206330e-01,3.39546402e-02,1.61839034e-01
4.60000000e-02,8.02872929e-01,3.49764944e-02,1.62150581e-01
5.05000000e-02,8.01643074e-01,3.58688874e-02,1.62488043e-01
5.50000000e-02,8.00497183e-01,3.66503863e-02,1.62852434e-01
5.95000000e-02,7.99424000e-01,3.73523479e-02,1.63223656e-01
6.40000000e-02,7.98407742e-01,3.79864315e-02,1.63605831e-01
6.85000000e-02,7.97442813e-01,3.85609296e-02,1.63996261e-01
7.30000000e-02,7.96510500e-01,3.90973257e-02,1.64392178e-01
7.75000000e-02,7.95618383e-01,3.95966130e-02,1.64785008e-01
8.20000000e-02,7.94746271e-01,4.00691830e-02,1.65184550e-01
8.65000000e-02,7.93902389e-01,4.05144552e-02,1.65583160e-01
9.10000000e-02,7.93075333e-01,4.09421643e-02,1.65982507e-01
9.55000000e-02,7.92265881e-01,4.13531026e-02,1.66381021e-01
1.00000000e-01,7.91475125e-01,4.17470769e-02,1.66777802e-01
1.45000000e-01,7.84089951e-01,4.53252261e-02,1.70584826e-01
1.90000000e-01,7.77414423e-01,4.85912889e-02,1.73994287e-01
2.35000000e-01,7.71399969e-01,5.16531302e-02,1.76946899e-01
2.80000000e-01,7.65912661e-01,5.45883363e-02,1.79498998e-01
3.25000000e-01,7.60965564e-01,5.73667853e-02,1.81667648e-01
3.70000000e-01,7.56516281e-01,5.99953140e-02,1.83488404e-01
4.15000000e-01,7.52418485e-01,6.25146590e-02,1.85066853e-01
4.60000000e-01,7.48858474e-01,6.48278315e-02,1.86313692e-01
5.05000000e-01,7.45657630e-01,6.70163294e-02,1.87326038e-01
5.50000000e-01,7.42842821e-01,6.90426317e-02,1.88114539e-01
5.95000000e-01,7.40385650e-01,7.09133263e-02,1.88700994e-01
6.40000000e-01,7.38249436e-01,7.26381428e-02,1.89112386e-01
6.85000000e-01,7.36412724e-01,7.42202204e-02,1.89367021e-01
7.30000000e-01,7.34850261e-01,7.56659408e-02,1.89483768e-01
7.75000000e-01,7.33537912e-01,7.69822574e-02,1.89479801e-01
8.20000000e-01,7.32452852e-01,7.81763842e-02,1.89370730e-01
8.65000000e-01,7.31570722e-01,7.92577166e-02,1.89171511e-01
9.10000000e-01,7.30869310e-01,8.02379978e-02,1.88892645e-01
9.55000000e-01,7.30353997e-01,8.10988193e-02,1.88547138e-01
1.00000000e+00,7.29985005e-01,8.18705919e-02,1.88144361e-01
1.45000000e+00,7.31548998e-01,8.58468429e-02,1.82604136e-01
1.90000000e+00,7.36766101e-01,8.62288132e-02,1.77005075e-01
2.35000000e+00,7.41863519e-01,8.55343446e-02,1.72602144e-01
2.80000000e+00,7.45726635e-01,8.47477200e-02,1.69525650e-01
3.25000000e+00,7.48461670e-01,8.41218034e-02,1.67416528e-01
3.70000000e+00,7.50291594e-01,8.37038578e-02,1.66004549e-01
4.00000000e+00,7.51129098e-01,8.35309711e-02,1.65339932e-01
