t(s),N2,NH3,H2
7.30000000e-05,-1.77249180e-08,5.38506613e-09,9.32799985e-10
7.75000000e-05,-1.77249180e-08,5.38506613e-09,9.32799985e-10
8.20000000e-05,-1.77249180e-08,5.38506613e-09,9.32799985e-10
8.65000000e-05,-1.74978177e-08,6.05931901e-09,-3.95205501e-10
9.10000000e-05,-1.74978177e-08,6.05931901e-09,-3.95205501e-10
9.55000000e-05,-1.72739845e-08,6.69938678e-09,-1.64394333e-09
1.00000000e-04,-1.72739845e-08,6.69938678e-09,-1.64394333e-09
1.45000000e-04,-1.64164724e-08,9.05550964e-09,-6.27942792e-09
1.90000000e-04,-1.58653826e-08,1.04891460e-08,-9.15738158e-09
2.35000000e-04,-1.53821143e-08,1.16723692e-08,-1.15516871e-08
2.80000000e-04,-1.47174117e-08,1.31587447e-08,-1.45770268e-08
3.25000000e-04,-1.43346825e-08,1.39542831e-08,-1.62310562e-08
3.70000000e-04,-1.43346825e-08,1.39542831e-08,-1.62310562e-08
4.15000000e-04,-1.39245887e-08,1.46671767e-08,-1.76915318e-08
4.60000000e-04,-1.37816810e-08,1.51368378e-08,-1.88807748e-08
5.05000000e-04,-1.30818396e-08,1.56528807e-08,-1.93816549e-08
5.50000000e-04,-1.33475940e-08,1.58803671e-08,-2.07207166e-08
5.95000000e-04,-1.28281221e-08,1.62855728e-08,-2.09631862e-08
6.40000000e-04,-1.25774261e-08,1.64328684e-08,-2.16813876e-08
6.85000000e-04,-1.25058874e-08,1.67460846e-08,-2.20505291e-08
7.30000000e-04,-1.21447329e-08,1.68933869e-08,-2.26796241e-08
7.75000000e-04,-1.21447329e-08,1.68933869e-08,-2.26796241e-08
8.20000000e-04,-1.18708523e-08,1.70247668e-08,-2.30776355e-08
8.65000000e-04,-1.18708523e-08,1.70247668e-08,-2.30776355e-08
9.10000000e-04,-1.12500133e-08,1.64074846e-08,-2.37932406e-08
9.55000000e-04,-1.13172695e-08,1.68225404e-08,-2.35860655e-08
1.00000000e-03,-1.13172695e-08,1.68225404e-08,-2.35860655e-08
1.45000000e-03,-1.03260513e-08,1.65498200e-08,-2.31401604e-08
1.90000000e-03,-9.66428171e-09,1.57134727e-08,-2.22036047e-08
