t(s),N2,NH3,H2
7.30000000e-05,-2.44046029e-10,2.44658082e-10,-2.25939260e-10
7.75000000e-05,-2.44046029e-10,2.44658082e-10,-2.25939260e-10
8.20000000e-05,-2.44046029e-10,2.44658082e-10,-2.25939260e-10
8.65000000e-05,-2.47454886e-10,2.68856003e-10,-2.83169786e-10
9.10000000e-05,-2.47454886e-10,2.68856003e-10,-2.83169786e-10
9.55000000e-05,-2.47454886e-10,2.68856003e-10,-2.83169786e-10
1.00000000e-04,-2.41471608e-10,2.90290274e-10,-3.19978500e-10
1.45000000e-04,-2.36979502e-10,3.41061942e-10,-4.23032851e-10
1.90000000e-04,-2.36623884e-10,3.75235197e-10,-4.97301719e-10
2.35000000e-04,-2.36353836e-10,4.05137203e-10,-5.56766841e-10
2.80000000e-04,-2.36108371e-10,4.24108930e-10,-6.00494674e-10
3.25000000e-04,-2.36019406e-10,4.30788694e-10,-6.17584971e-10
3.70000000e-04,-2.35897101e-10,4.40232281e-10,-6.37682232e-10
4.15000000e-04,-2.35830190e-10,4.45078808e-10,-6.48097570e-10
4.60000000e-04,-2.35734195e-10,4.49761260e-10,-6.58451454e-10
5.05000000e-04,-2.35686713e-10,4.51592005e-10,-6.62471297e-10
5.50000000e-04,-2.35625168e-10,4.52883608e-10,-6.65446006e-10
5.95000000e-04,-2.35607943e-10,4.53686840e-10,-6.66778193e-10
6.40000000e-04,-2.35528153e-10,4.54624554e-10,-6.66882900e-10
6.85000000e-04,-2.35579729e-10,4.54157190e-10,-6.70935877e-10
7.30000000e-04,-2.35448935e-10,4.55296064e-10,-6.67650457e-10
7.75000000e-04,-2.35404770e-10,4.54978383e-10,-6.69477808e-10
8.20000000e-04,-2.35404770e-10,4.54978383e-10,-6.69477808e-10
8.65000000e-04,-2.35350110e-10,4.54912734e-10,-6.69237832e-10
9.10000000e-04,-2.35316413e-10,4.54415390e-10,-6.69796054e-10
9.55000000e-04,-2.35316413e-10,4.54415390e-10,-6.69796054e-10
1.00000000e-03,-2.35253700e-10,4.54502654e-10,-6.68980175e-10
1.45000000e-03,-2.34917624e-10,4.52583108e-10,-6.65275517e-10
1.90000000e-03,-2.34605660e-10,4.49945111e-10,-6.62131086e-10
2.35000000e-03,-2.34144581e-10,4.49050780e-10,-6.57599840e-10
2.80000000e-03,-2.33770250e-10,4.45932152e-10,-6.53346828e-10
3.25000000e-03,-2.33530554e-10,4.44517287e-10,-6.50838340e-10
3.70000000e-03,-2.33269525e-10,4.43978619e-10,-6.48780351e-10
4.15000000e-03,-2.32623769e-10,4.40491477e-10,-6.41404230e-10
4.60000000e-03,-2.32623769e-10,4.40491477e-10,-6.41404230e-10
