t(s),N2(T),N(T),H(T),NH3(T),NH2(T),NH(T),RU(T),N2(S),N(S),H(S),NH3(S),NH2(S),NH(S),RU(S)
9.55000000e-08,2.49458321e-05,1.49856422e-10,3.25105914e-01,-1.79742038e-15,2.19726676e-16,3.09459545e-13,6.74869141e-01,5.41699905e-06,4.32797182e-05,3.00608358e-01,-2.13634418e-12,9.16158524e-09,8.71814037e-08,6.99342849e-01
1.00000000e-07,2.49458606e-05,1.55752875e-10,3.25105144e-01,-1.79635433e-15,2.31671928e-16,3.25699081e-13,6.74869910e-01,5.38680810e-06,4.33254810e-05,3.04506060e-01,-1.13709227e-13,1.07641845e-08,9.31832424e-08,6.95445125e-01
1.45000000e-07,2.49459867e-05,2.14687524e-10,3.25101730e-01,-1.77094721e-15,3.75030284e-16,5.19957819e-13,6.74873325e-01,5.25311251e-06,4.36673272e-05,3.21766129e-01,1.67334972e-13,3.38201420e-08,1.41170715e-07,6.78184776e-01
1.90000000e-07,2.49460070e-05,2.73568596e-10,3.25101178e-01,-1.70697416e-15,5.59526171e-16,7.68987513e-13,6.74873876e-01,5.23154693e-06,4.39600577e-05,3.24549944e-01,-3.78616166e-11,6.44218993e-08,1.67790943e-07,6.75400633e-01
2.35000000e-07,2.49460100e-05,3.32399289e-10,3.25101095e-01,-1.63389570e-15,7.81880759e-16,1.06855209e-12,6.74873959e-01,5.22828978e-06,4.42535223e-05,3.24970107e-01,-8.81892661e-11,9.79955171e-08,1.81782897e-07,6.74980132e-01
2.80000000e-07,2.49460104e-05,3.91183352e-10,3.25101083e-01,-1.48339270e-15,1.03945728e-15,1.41474719e-12,6.74873971e-01,5.22781781e-06,4.45508627e-05,3.25030696e-01,7.65577102e-11,1.30885752e-07,1.89729901e-07,6.74919205e-01
3.25000000e-07,2.49460104e-05,4.49924372e-10,3.25101081e-01,-1.36210156e-15,1.32910102e-15,1.80396409e-12,6.74873973e-01,5.22774455e-06,4.48508329e-05,3.25039813e-01,7.04288160e-11,1.64312638e-07,1.94976882e-07,6.74909749e-01
3.70000000e-07,2.49460103e-05,5.08625679e-10,3.25101081e-01,-1.12453694e-15,1.64886864e-15,2.23287446e-12,6.74873973e-01,5.22772589e-06,4.51524421e-05,3.25041886e-01,-4.41167752e-11,1.95351045e-07,1.99001258e-07,6.74907340e-01
4.15000000e-07,2.49460102e-05,5.67290347e-10,3.25101081e-01,-8.08930584e-16,1.99635671e-15,2.69841594e-12,6.74873973e-01,5.22772373e-06,4.54552008e-05,3.25041827e-01,-5.52217551e-11,2.24378666e-07,2.02410025e-07,6.74907064e-01
4.60000000e-07,2.49460101e-05,6.25921213e-10,3.25101081e-01,-4.52221358e-16,2.36929597e-15,3.19775849e-12,6.74873973e-01,5.22772404e-06,4.57588462e-05,3.25041449e-01,-6.41838927e-11,2.52097245e-07,2.05505774e-07,6.74907107e-01
5.05000000e-07,2.49460100e-05,6.84520895e-10,3.25101081e-01,-5.58553585e-17,2.76572556e-15,3.72828933e-12,6.74873973e-01,5.22772473e-06,4.60632345e-05,3.25041025e-01,-7.35106679e-11,2.78540828e-07,2.08426892e-07,6.74907198e-01
5.50000000e-07,2.49460099e-05,7.43091809e-10,3.25101081e-01,3.56618404e-16,3.18377040e-15,4.28759763e-12,6.74873973e-01,5.22772551e-06,4.63682792e-05,3.25040588e-01,2.22475853e-11,3.04036239e-07,2.11237318e-07,6.74907302e-01
5.95000000e-07,2.49460098e-05,8.01636182e-10,3.25101081e-01,7.45927990e-16,3.62158338e-15,4.87345456e-12,6.74873973e-01,5.22772631e-06,4.66739304e-05,3.25040148e-01,2.66390731e-12,3.29460312e-07,2.13996337e-07,6.74907408e-01
6.40000000e-07,2.49460097e-05,8.60156373e-10,3.25101081e-01,1.17022840e-15,4.07763763e-15,5.48350611e-12,6.74873972e-01,5.22772713e-06,4.69801510e-05,3.25039707e-01,1.14603586e-12,3.53723994e-07,2.16704484e-07,6.74907516e-01
6.85000000e-07,2.49460096e-05,9.18654635e-10,3.25101081e-01,1.62380551e-15,4.55022714e-15,6.11550357e-12,6.74873972e-01,5.22772795e-06,4.72868992e-05,3.25039266e-01,1.19275899e-12,3.76986365e-07,2.19359494e-07,6.74907624e-01
7.30000000e-07,2.49460095e-05,9.77132375e-10,3.25101081e-01,2.10553508e-15,5.03829536e-15,6.76804235e-12,6.74873972e-01,5.22772877e-06,4.75941470e-05,3.25038825e-01,1.26647037e-12,3.99295962e-07,2.21962373e-07,6.74907733e-01
7.75000000e-07,2.49460094e-05,1.03559094e-09,3.25101081e-01,2.61447004e-15,5.54083168e-15,7.43977672e-12,6.74873972e-01,5.22772960e-06,4.79018659e-05,3.25038384e-01,1.32473264e-12,4.20696371e-07,2.24515006e-07,6.74907842e-01
8.20000000e-07,2.49460093e-05,1.09403143e-09,3.25101082e-01,3.14971350e-15,6.05701860e-15,8.12961910e-12,6.74873972e-01,5.22773043e-06,4.82100333e-05,3.25037943e-01,1.39884329e-12,4.41224823e-07,2.27018680e-07,6.74907952e-01
8.65000000e-07,2.49460092e-05,1.15245735e-09,3.25101082e-01,3.70846916e-15,6.58421580e-15,8.83405565e-12,6.74873972e-01,5.22773126e-06,4.85185693e-05,3.25037502e-01,1.47125140e-12,4.61004643e-07,2.29479910e-07,6.74908062e-01
9.10000000e-07,2.49460091e-05,1.21086909e-09,3.25101082e-01,4.29043964e-15,7.12214403e-15,9.55271474e-12,6.74873971e-01,5.22773210e-06,4.88274657e-05,3.25037062e-01,1.54198871e-12,4.80048829e-07,2.31899350e-07,6.74908172e-01
9.55000000e-07,2.49460090e-05,1.26926642e-09,3.25101082e-01,4.89579262e-15,7.67096073e-15,1.02858059e-11,6.74873971e-01,5.22773294e-06,4.91367270e-05,3.25036621e-01,1.61103734e-12,4.98350052e-07,2.34276632e-07,6.74908283e-01
