t(s),N2(T),N(T),H(T),NH3(T),NH2(T),NH(T),RU(T),N2(S),N(S),H(S),NH3(S),NH2(S),NH(S),RU(S)
9.55000000e-08,1.74636235e-10,3.36299704e-11,-4.72593436e-06,1.40705909e-17,6.68570593e-17,9.09194640e-14,4.72572600e-06,-3.78544040e-09,5.56055493e-09,4.88517886e-04,1.60281665e-10,1.77647437e-10,7.08089833e-10,-4.88520707e-04
1.00000000e-07,1.49554849e-10,3.36269126e-11,-4.04591808e-06,3.56088289e-18,6.93985361e-17,9.43164604e-14,4.04573481e-06,-3.23761940e-09,5.08131770e-09,4.18009217e-04,7.62081467e-12,1.95438709e-10,6.89400488e-10,-4.18011953e-04
1.45000000e-07,2.60168552e-11,3.35958946e-11,-7.00926418e-07,2.34071620e-17,9.37994490e-17,1.26825951e-13,7.00866678e-07,-5.57685308e-10,3.47996238e-09,7.24056092e-05,-9.11873123e-12,3.25868109e-10,4.19993445e-10,-7.24092683e-05
1.90000000e-07,3.94225161e-12,3.35661212e-11,-1.06944294e-07,1.55963567e-16,1.16429806e-16,1.56823013e-13,1.06906629e-07,-8.78278640e-11,3.39252968e-09,1.10589331e-05,3.27076335e-09,3.72697704e-10,2.19457149e-10,-1.10661008e-05
2.35000000e-07,5.44340132e-13,3.35384626e-11,-1.59695913e-08,4.60166461e-16,1.37352854e-16,1.84499055e-13,1.59353234e-08,-1.91151759e-11,3.44017095e-09,1.64537728e-06,7.62667574e-09,3.77471997e-10,1.18875645e-10,-1.65692135e-06
2.80000000e-07,6.12240084e-14,3.35129159e-11,-2.35157106e-09,4.81298054e-18,1.56179736e-16,2.10037302e-13,2.31778672e-09,4.91298654e-12,3.47831114e-09,2.76242333e-07,-6.57277433e-09,3.91625184e-10,7.27083839e-11,-2.73617116e-07
3.25000000e-07,-3.18129865e-14,3.34893426e-11,-4.63605327e-10,-9.82582675e-17,1.73922086e-16,2.33596875e-13,4.29914125e-10,4.47828820e-12,3.50207365e-09,6.17230409e-08,-6.03552018e-09,3.78016481e-10,5.23810335e-11,-5.96244702e-08
3.70000000e-07,-4.98818620e-14,3.34675935e-11,-3.46386738e-11,2.06608684e-16,1.90510860e-16,2.55338695e-13,9.65226344e-13,-3.81381527e-12,3.51780641e-09,5.30674744e-09,3.85406697e-09,3.50293607e-10,4.25347131e-11,-1.30676353e-08
4.15000000e-07,-5.07144317e-14,3.34475282e-11,4.54669563e-11,3.17716433e-16,2.05621040e-16,2.75401848e-13,-7.91396953e-11,-3.95106386e-12,3.52935217e-09,-3.26561270e-09,4.82020305e-09,3.34822508e-10,3.75649696e-11,-5.45237894e-09
4.60000000e-07,-4.95485860e-14,3.34290169e-11,5.80459401e-11,3.62444894e-16,2.19569633e-16,2.93914165e-13,-9.17199046e-11,-4.59866542e-12,3.53868583e-09,-4.67147141e-09,5.60122912e-09,3.19834533e-10,3.49426298e-11,-4.81862203e-09
