t(s),N2,NH3,H2
8.20000000e-05,8.29846875e-01,1.73756417e-06,1.70151391e-01
8.65000000e-05,8.29846675e-01,1.90151539e-06,1.70151427e-01
9.10000000e-05,8.29846472e-01,2.07087396e-06,1.70151461e-01
9.55000000e-05,8.29846265e-01,2.24544139e-06,1.70151494e-01
1.00000000e-04,8.29846055e-01,2.42502115e-06,1.70151524e-01
1.45000000e-04,8.29843812e-01,4.45795546e-06,1.70151734e-01
1.90000000e-04,8.29841364e-01,6.82237568e-06,1.70151817e-01
2.35000000e-04,8.29838779e-01,9.41163613e-06,1.70151814e-01
2.80000000e-04,8.29836099e-01,1.21536746e-05,1.70151752e-01
3.25000000e-04,8.29833356e-01,1.49990773e-05,1.70151649e-01
3.70000000e-04,8.29830570e-01,1.79140819e-05,1.70151520e-01
4.15000000e-04,8.29827755e-01,2.08760606e-05,1.70151373e-01
4.60000000e-04,8.29824921e-01,2.38699205e-05,1.70151214e-01
5.05000000e-04,8.29822074e-01,2.68846000e-05,1.70151046e-01
5.50000000e-04,8.29819219e-01,2.99125826e-05,1.70150873e-01
5.95000000e-04,8.29816358e-01,3.29493734e-05,1.70150696e-01
6.40000000e-04,8.29813495e-01,3.59920475e-05,1.70150517e-01
6.85000000e-04,8.29810629e-01,3.90382684e-05,1.70150337e-01
7.30000000e-04,8.29807762e-01,4.20863210e-05,1.70150156e-01
7.75000000e-04,8.29804895e-01,4.51351698e-05,1.70149974e-01
8.20000000e-04,8.29802028e-01,4.81840960e-05,1.70149792e-01
8.65000000e-04,8.29799161e-01,5.12327415e-05,1.70149610e-01
9.10000000e-04,8.29796295e-01,5.42808048e-05,1.70149428e-01
9.55000000e-04,8.29793429e-01,5.73280467e-05,1.70149247e-01
1.00000000e-03,8.29790564e-01,6.03744079e-05,1.70149065e-01
1.45000000e-03,8.29761964e-01,9.07704584e-05,1.70147269e-01
1.90000000e-03,8.29733458e-01,1.21036278e-04,1.70145510e-01
2.35000000e-03,8.29705046e-01,1.51171218e-04,1.70143787e-01
2.80000000e-03,8.29676727e-01,1.81177590e-04,1.70142099e-01
3.25000000e-03,8.29648501e-01,2.11054970e-04,1.70140448e-01
3.70000000e-03,8.29620368e-01,2.40804088e-04,1.70138832e-01
4.15000000e-03,8.29592326e-01,2.70426233e-04,1.70137252e-01
4.60000000e-03,8.29564375e-01,2.99922125e-04,1.70135707e-01
5.05000000e-03,8.29536515e-01,3.29292554e-04,1.70134197e-01
5.50000000e-03,8.29508745e-01,3.58538276e-04,1.70132721e-01
5.95000000e-03,8.29481064e-01,3.87660101e-04,1.70131280e-01
6.40000000e-03,8.29453472e-01,4.16658871e-04,1.70129873e-01
6.85000000e-03,8.29425968e-01,4.45535381e-04,1.70128501e-01
7.30000000e-03,8.29398552e-01,4.74290405e-04,1.70127161e-01
7.75000000e-03,8.29371224e-01,5.02924599e-04,1.70125856e-01
8.20000000e-03,8.29343982e-01,5.31438778e-04,1.70124583e-01
8.65000000e-03,8.29316826e-01,5.59833703e-04,1.70123344e-01
9.10000000e-03,8.29289756e-01,5.88110131e-04,1.70122138e-01
9.55000000e-03,8.29262772e-01,6.16268823e-04,1.70120964e-01
1.00000000e-02,8.29235871e-01,6.44310594e-04,1.70119822e-01
1.45000000e-02,8.28971412e-01,9.18452897e-04,1.70110139e-01
1.90000000e-02,8.28714836e-01,1.18171367e-03,1.70103454e-01
2.35000000e-02,8.28465797e-01,1.43463149e-03,1.70099575e-01
2.80000000e-02,8.28223770e-01,1.67793036e-03,1.70098303e-01
3.25000000e-02,8.27988346e-01,1.91219593e-03,1.70099462e-01
3.70000000e-02,8.27759219e-01,2.13789985e-03,1.70102885e-01
4.15000000e-02,8.27536002e-01,2.35558656e-03,1.70108415e-01
4.60000000e-02,8.27318368e-01,2.56572892e-03,1.70115907e-01
5.05000000e-02,8.27106009e-01,2.76877163e-03,1.70125223e-01
5.50000000e-02,8.26898659e-01,2.96511416e-03,1.70136231e-01
5.95000000e-02,8.26695980e-01,3.15519432e-03,1.70148830e-01
6.40000000e-02,8.26497702e-01,3.33939231e-03,1.70162910e-01
6.85000000e-02,8.26303762e-01,3.51792961e-03,1.70178312e-01
7.30000000e-02,8.26113854e-01,3.69118611e-03,1.70194964e-01
7.75000000e-02,8.25927899e-01,3.85937822e-03,1.70212726e-01
8.20000000e-02,8.25745680e-01,4.02280585e-03,1.70231518e-01
8.65000000e-02,8.25566867e-01,4.18183449e-03,1.70251302e-01
