 Experimental condition #  1
Vol [cm3]             N2                 NH3                H2                        Temp. [K]     Pressure [atm]
   5.00000000E-001    6.88500727E-002    9.16285868E-001    1.48640597E-002    9.00000000E+002    1.00007664E+000
   5.10000000E-001    6.96767214E-002    9.15280754E-001    1.50425251E-002    9.00000000E+002    1.00007810E+000
   5.20000000E-001    7.04952946E-002    9.14285458E-001    1.52192471E-002    9.00000000E+002    1.00007953E+000
   5.30000000E-001    7.13060152E-002    9.13299711E-001    1.53942737E-002    9.00000000E+002    1.00008092E+000
   5.40000000E-001    7.21090961E-002    9.12323253E-001    1.55676511E-002    9.00000000E+002    1.00008228E+000
   5.50000000E-001    7.29047409E-002    9.11355836E-001    1.57394230E-002    9.00000000E+002    1.00008360E+000
   5.60000000E-001    7.36931446E-002    9.10397224E-001    1.59096317E-002    9.00000000E+002    1.00008488E+000
   5.70000000E-001    7.44744936E-002    9.09447189E-001    1.60783173E-002    9.00000000E+002    1.00008612E+000
   5.80000000E-001    7.52489670E-002    9.08505514E-001    1.62455186E-002    9.00000000E+002    1.00008734E+000
   5.90000000E-001    7.60167362E-002    9.07571991E-001    1.64112725E-002    9.00000000E+002    1.00008853E+000
   6.00000000E-001    7.67779659E-002    9.06646420E-001    1.65756146E-002    9.00000000E+002    1.00008969E+000
   6.10000000E-001    7.75328142E-002    9.05728607E-001    1.67385789E-002    9.00000000E+002    1.00009079E+000
   6.20000000E-001    7.82814329E-002    9.04818369E-001    1.69001984E-002    9.00000000E+002    1.00009181E+000
   6.30000000E-001    7.90239681E-002    9.03915527E-001    1.70605045E-002    9.00000000E+002    1.00009273E+000
   6.40000000E-001    7.97605606E-002    9.03019912E-001    1.72195277E-002    9.00000000E+002    1.00009235E+000
   6.50000000E-001    8.04913455E-002    9.02131357E-001    1.73772970E-002    9.00000000E+002    1.00009197E+000
   6.60000000E-001    8.12164531E-002    9.01249706E-001    1.75338407E-002    9.00000000E+002    1.00009166E+000
   6.70000000E-001    8.19360085E-002    9.00374806E-001    1.76891857E-002    9.00000000E+002    1.00009282E+000
   6.80000000E-001    8.26501328E-002    8.99506509E-001    1.78433582E-002    9.00000000E+002    1.00009377E+000
   6.90000000E-001    8.33589425E-002    8.98644674E-001    1.79963833E-002    9.00000000E+002    1.00009470E+000
   7.00000000E-001    8.40625504E-002    8.97789164E-001    1.81482854E-002    9.00000000E+002    1.00009555E+000
   7.10000000E-001    8.47610650E-002    8.96939847E-001    1.82990879E-002    9.00000000E+002    1.00009640E+000
   7.20000000E-001    8.54545916E-002    8.96096595E-001    1.84488135E-002    9.00000000E+002    1.00009724E+000
   7.30000000E-001    8.61432315E-002    8.95259284E-001    1.85974841E-002    9.00000000E+002    1.00009764E+000
   7.40000000E-001    8.68270821E-002    8.94427797E-001    1.87451208E-002    9.00000000E+002    1.00010170E+000
   7.50000000E-001    8.75062399E-002    8.93602016E-001    1.88917444E-002    9.00000000E+002    1.00009837E+000
   7.60000000E-001    8.81807965E-002    8.92781829E-001    1.90373746E-002    9.00000000E+002    1.00009555E+000
   7.70000000E-001    8.88508409E-002    8.91967128E-001    1.91820306E-002    9.00000000E+002    1.00009279E+000
   7.80000000E-001    8.95164591E-002    8.91157810E-001    1.93257311E-002    9.00000000E+002    1.00009007E+000
