 Experimental condition #  1
Vol [cm3]               Avg MM [g/mol]        rho [g/cm3]   drho/dt [g/cm3s]        dm/dt [g/s]      mdot_in [g/s]     mdot_out [g/s]   m_gen_surf [g/s]
   4.50000000E-001    1.57905632E+001    2.13841400E-004    1.20695908E-013    1.20695908E-013    2.30618569E-004    2.30618569E-004   -2.01452653E-016
   4.60000000E-001    1.57750774E+001    2.13631982E-004   -4.09115623E-013   -4.09115623E-013    2.30618569E-004    2.30618568E-004   -1.08991513E-015
   4.70000000E-001    1.57597879E+001    2.13425226E-004   -6.93620646E-013   -6.93620646E-013    2.30618569E-004    2.30618562E-004   -6.50445469E-015
   4.80000000E-001    1.57446888E+001    2.13221081E-004    1.02036840E-013    1.02036840E-013    2.30618569E-004    2.30618572E-004    2.16358710E-015
   4.90000000E-001    1.57297742E+001    2.13019426E-004    7.42606454E-013    7.42606454E-013    2.30618569E-004    2.30618565E-004   -2.63636104E-015
   5.00000000E-001    1.57150387E+001    2.12820187E-004   -2.10524619E-013   -2.10524619E-013    2.30618569E-004    2.30618566E-004   -2.83199964E-015
   5.10000000E-001    1.57004769E+001    2.12623296E-004    5.83051712E-013    5.83051712E-013    2.30618569E-004    2.30618568E-004   -1.78518420E-016
   5.20000000E-001    1.56860840E+001    2.12428683E-004    4.27228008E-013    4.27228008E-013    2.30618569E-004    2.30618575E-004    4.80258489E-015
   5.30000000E-001    1.56718551E+001    2.12236284E-004   -3.04057412E-013   -3.04057412E-013    2.30618569E-004    2.30618562E-004   -5.94441281E-015
   5.40000000E-001    1.56577858E+001    2.12046038E-004   -5.26413873E-013   -5.26413873E-013    2.30618569E-004    2.30618566E-004   -3.10489554E-015
   5.50000000E-001    1.56438716E+001    2.11857885E-004    7.93336719E-013    7.93336719E-013    2.30618569E-004    2.30618566E-004   -2.38945523E-015
   5.60000000E-001    1.56301084E+001    2.11671766E-004   -2.86316463E-013   -2.86316463E-013    2.30618569E-004    2.30618571E-004    1.41683846E-015
   5.70000000E-001    1.56164922E+001    2.11487632E-004   -3.58908057E-014   -3.58908057E-014    2.30618569E-004    2.30618574E-004    4.03503507E-015
   5.80000000E-001    1.56030193E+001    2.11305430E-004    3.01891797E-013    3.01891797E-013    2.30618569E-004    2.30618570E-004    9.40911056E-016
   5.90000000E-001    1.55896859E+001    2.11125111E-004   -1.93467641E-013   -1.93467641E-013    2.30618569E-004    2.30618571E-004    1.24963419E-015
   6.00000000E-001    1.55764885E+001    2.10946629E-004    1.46889034E-013    1.46889034E-013    2.30618569E-004    2.30618566E-004   -2.46531209E-015
   6.10000000E-001    1.55634238E+001    2.10769932E-004    5.61763656E-013    5.61763656E-013    2.30618569E-004    2.30618572E-004    2.33835471E-015
   6.20000000E-001    1.55504886E+001    2.10594969E-004    4.32358396E-014    4.32358396E-014    2.30618569E-004    2.30618571E-004    1.10534279E-015
   6.30000000E-001    1.55376797E+001    2.10421696E-004    4.45360262E-013    4.45360262E-013    2.30618569E-004    2.30618573E-004    3.88773171E-015
   6.40000000E-001    1.55249942E+001    2.10249820E-004   -5.93084132E-013   -5.93084132E-013    2.30618569E-004    2.30618559E-004   -8.77231823E-015
   6.50000000E-001    1.55124291E+001    2.10079576E-004   -1.21468561E-012   -1.21468561E-012    2.30618569E-004    2.30618562E-004   -7.04102704E-015
   6.60000000E-001    1.54999817E+001    2.09910941E-004    7.64227920E-013    7.64227920E-013    2.30618569E-004    2.30618571E-004    2.21931222E-015
