 Experimental condition #  1
Vol [cm3]             N2(T)              N(T)               H(T)               NH3(T)             NH2(T)             NH(T)              RU(T)              N2(S)              N(S)               H(S)               NH3(S)             NH2(S)             NH(S)              RU(S)                     Temp. [K]
   2.10000000E-001    2.23450945E-006    3.31480205E-001    1.16982945E-002    5.19690281E-007    8.69692319E-006    1.29511491E-003    6.55514935E-001    4.53028553E-007    3.32865601E-001    1.02733571E-002    1.02002116E-005    2.21242325E-002    4.85007634E-004    6.34241148E-001    9.00000000E+002
   2.20000000E-001    2.30338965E-006    3.30577454E-001    1.19752276E-002    5.24323593E-007    8.82958253E-006    1.31173391E-003    6.56123928E-001    4.67452829E-007    3.31280885E-001    1.05957575E-002    1.03970343E-005    2.21667269E-002    4.90490009E-004    6.35455276E-001    9.00000000E+002
   2.30000000E-001    2.37078478E-006    3.29693919E-001    1.22472486E-002    5.28896557E-007    8.95354962E-006    1.32761712E-003    6.56719362E-001    4.81565545E-007    3.29767974E-001    1.09116893E-002    1.05872014E-005    2.22055463E-002    4.95731612E-004    6.36607990E-001    9.00000000E+002
   2.40000000E-001    2.43679727E-006    3.28828919E-001    1.25147027E-002    5.33413383E-007    9.06962727E-006    1.34282831E-003    6.57301510E-001    4.95387619E-007    3.28320582E-001    1.12215539E-002    1.07712551E-005    2.22411804E-002    5.00753689E-004    6.37704663E-001    9.00000000E+002
   2.50000000E-001    2.50148122E-006    3.27981835E-001    1.27777991E-002    5.37869460E-007    9.17838665E-006    1.35741331E-003    6.57870735E-001    5.08930137E-007    3.26933548E-001    1.15256033E-002    1.09494756E-005    2.22738298E-002    5.05571423E-004    6.38749989E-001    9.00000000E+002
   2.60000000E-001    2.56488116E-006    3.27152090E-001    1.30367108E-002    5.42259894E-007    9.28032912E-006    1.37141196E-003    6.58427400E-001    5.22202289E-007    3.25602340E-001    1.18240547E-002    1.11220939E-005    2.23036483E-002    5.10197955E-004    6.39748115E-001    9.00000000E+002
   2.70000000E-001    2.62709078E-006    3.26339059E-001    1.32917270E-002    5.46591748E-007    9.37609661E-006    1.38487385E-003    6.58971791E-001    5.35223394E-007    3.24322455E-001    1.21172655E-002    1.12895977E-005    2.23310561E-002    5.14649684E-004    6.40702749E-001    9.00000000E+002
   2.80000000E-001    2.68815871E-006    3.25542190E-001    1.35430148E-002    5.50863565E-007    9.46613371E-006    1.39783369E-003    6.59504256E-001    5.48003564E-007    3.23090212E-001    1.24054544E-002    1.14522350E-005    2.23562215E-002    5.18938002E-004    6.41617174E-001    9.00000000E+002
   2.90000000E-001    2.74813799E-006    3.24760943E-001    1.37907467E-002    5.55075907E-007    9.55087206E-006    1.41032491E-003    6.60025132E-001    5.60553841E-007    3.21902242E-001    1.26888481E-002    1.16102755E-005    2.23793364E-002    5.23073872E-004    6.42494329E-001    9.00000000E+002
   3.00000000E-001    2.80707755E-006    3.23994797E-001    1.40350799E-002    5.59229400E-007    9.63070277E-006    1.42237776E-003    6.60534749E-001    5.72884441E-007    3.20755514E-001    1.29676571E-002    1.17639661E-005    2.24005708E-002    5.27067188E-004    6.43336854E-001    9.00000000E+002
