 Experimental condition #  1
Vol [cm3]             N2                 NH3                H2                 N2(T)              N(T)               H(T)               NH3(T)             NH2(T)             NH(T)              RU(T)              N2(S)              N(S)               H(S)               NH3(S)             NH2(S)             NH(S)              RU(S)                     Temp. [K]
   1.70000000E-001    9.62092757E-010   -1.92418542E-009    2.88627829E-009   -1.05064353E-018   -6.34266584E-021   -3.66679331E-017   -9.76453137E-017    7.02069545E-023    6.27333777E-021    1.35363889E-016   -1.83940153E-020    3.12674272E-022   -5.13513724E-021    1.47343366E-018   -3.97046694E-023   -3.50724580E-022   -1.44982676E-018    9.00000000E+002
   1.80000000E-001    9.37678338E-010   -1.87535670E-009    2.81303498E-009    4.10509653E-019   -3.26219354E-023    7.22858511E-017    1.86946195E-017   -2.05347587E-022    2.38228016E-022   -9.13909805E-017   -7.29294127E-021    1.86322433E-022    5.50571416E-021    3.18590929E-018   -1.32348898E-023   -2.05140792E-022   -3.18409001E-018    9.00000000E+002
   1.90000000E-001    9.14953827E-010   -1.82990747E-009    2.74486149E-009    4.33352944E-020    5.73804851E-022   -1.70870769E-017   -1.77028469E-016    4.36337773E-022   -1.00585162E-021    1.94072207E-016   -2.57449626E-021    7.02069545E-022   -1.82575305E-020   -3.46445740E-018    4.43368808E-022   -9.85999290E-022    3.48512999E-018    9.00000000E+002
   2.00000000E-001    8.93731016E-010   -1.78746190E-009    2.68119304E-009    2.52069462E-019   -4.81300209E-021    2.23254037E-017   -1.42751466E-016   -1.11421229E-021    5.92923063E-021    1.20173991E-016    1.60065652E-020    1.55055006E-021    1.09849585E-020    5.63292792E-018    2.38228016E-022   -1.77347523E-021   -5.65993474E-018    9.00000000E+002
   2.10000000E-001    8.73851319E-010   -1.74770298E-009    2.62155398E-009   -3.42197899E-019   -5.30078016E-021   -3.93549176E-017    3.38088112E-016   -1.25731453E-022    5.42630482E-021   -2.98390996E-016    9.03849916E-021   -1.66573496E-021   -2.56227467E-020    4.90165393E-018   -6.61744490E-023    1.56833444E-021   -4.88490611E-018    9.00000000E+002
   2.20000000E-001    8.55178982E-010   -1.71035779E-009    2.56553695E-009   -8.47748975E-020   -3.66844262E-021   -1.43893257E-017   -1.73302799E-016   -7.77032788E-022    4.44692297E-021    1.87776898E-016    6.93301430E-021   -1.58405087E-021   -7.34536384E-021    1.23304174E-018   -2.24993127E-022    1.73377056E-021   -1.23255412E-018    9.00000000E+002
   2.30000000E-001    8.37596275E-010   -1.67519264E-009    2.51278881E-009    2.19048877E-019    4.47695997E-021    2.64723955E-017    9.06348858E-017   -1.37001789E-022   -4.34104385E-021   -1.17326329E-016   -1.19951529E-020    1.43805349E-021    2.95204217E-020    3.76400266E-019   -1.91905902E-022   -1.29040176E-021   -3.93881281E-019    9.00000000E+002
   2.40000000E-001    8.21000343E-010   -1.64200044E-009    2.46300104E-009   -4.04359875E-019   -1.96713889E-022   -2.23759769E-017   -2.44654654E-016    3.04195670E-022   -1.05879118E-022    2.67434989E-016   -1.41891460E-020    6.37963047E-022    2.03817303E-021   -3.41390012E-018   -2.64697796E-022   -4.36751363E-022    3.42611458E-018    9.00000000E+002
   2.50000000E-001    8.05303978E-010   -1.61060792E-009    2.41591194E-009    3.16354010E-019    3.41372269E-021   -1.11087561E-017   -3.79292634E-017   -1.30797934E-022   -3.28225267E-021    4.87216649E-017    3.51686177E-021    9.07210337E-022    3.34180967E-021   -8.20238913E-019    1.38966343E-022   -9.92616735E-022    8.13326681E-019    9.00000000E+002
   2.60000000E-001    7.90430921E-010   -1.58086187E-009    2.37129275E-009   -3.06210837E-019    6.79311738E-021    2.93948327E-017    2.48985498E-017   -2.81034613E-022   -6.51156578E-021   -5.39871722E-017   -2.27782793E-020   -2.72431935E-021   -3.94796763E-020    6.82576207E-019   -6.61744490E-023    2.73962219E-021   -6.20267379E-019    9.00000000E+002
   2.70000000E-001    7.76310633E-010   -1.55262134E-009    2.32893190E-009   -2.24875021E-019   -2.44535269E-023   -9.15555235E-018    7.24407720E-017    2.67799723E-023    0.00000000E+000   -6.30603469E-017   -7.27608746E-022    1.98461308E-021    1.27121117E-020    1.12650088E-018   -2.18375682E-022   -1.95214625E-021   -1.13829947E-018    9.00000000E+002
   2.80000000E-001    7.62882942E-010   -1.52576601E-009    2.28864885E-009    1.65763557E-019   -3.72536298E-021   -5.36529573E-017    1.28905376E-016    1.54062389E-023    3.70576914E-021   -7.54181781E-017   -9.87726030E-021    6.10045702E-023    5.30255860E-020   -2.02687705E-018   -1.98523347E-023    1.58818678E-022    1.98352875E-018    9.00000000E+002
   2.90000000E-001    7.50093791E-010   -1.50018786E-009    2.25028141E-009    1.97332388E-019   -5.45313649E-021   -6.90772366E-017    2.79763183E-016   -5.35082459E-022    5.98217019E-021   -2.10883272E-016    1.28688624E-021   -8.79706581E-022   -1.46907277E-021   -1.73742339E-018    9.26442286E-023    9.13207396E-022    1.73747943E-018    9.00000000E+002
   3.00000000E-001    7.37894883E-010   -1.47579015E-009    2.21368467E-009   -2.31484401E-019    4.88812043E-022   -4.99611420E-017    3.89041030E-016    4.61153191E-022   -9.52912066E-022   -3.38848401E-016   -1.75229941E-020    7.41153829E-022    2.27441581E-020   -1.40158145E-018    3.30872245E-023   -7.14684049E-022    1.39630073E-018    9.00000000E+002
   3.10000000E-001    7.26242903E-010   -1.45248583E-009    2.17872870E-009    1.05476333E-019    2.07611994E-021    1.88497519E-017    2.14730927E-017   -2.25199922E-022   -1.85288457E-021   -4.04283190E-017    1.15246939E-020   -1.13241026E-021   -9.88646268E-021   -1.66282494E-018   -1.85288457E-022    1.23746220E-021    1.66126694E-018    9.00000000E+002
   3.20000000E-001    7.15098841E-010   -1.43019787E-009    2.14529652E-009    1.46272648E-019    9.51619596E-022    1.09587989E-020    1.82720782E-016    2.65007989E-022   -1.21760986E-021   -1.82878013E-016    1.40792344E-020    6.40651384E-022   -2.01964418E-020    5.73171314E-018    1.85288457E-022   -8.73502727E-022   -5.72554837E-018    9.00000000E+002
   3.30000000E-001    7.04427926E-010   -1.40885570E-009    2.11328381E-009    3.75960464E-019    2.36191084E-021   -6.79986720E-017   -1.50805503E-016    4.97755934E-022   -2.85873620E-021    2.18428213E-016    2.26572008E-020   -9.51050909E-022   -4.01017161E-021    3.01759458E-018    1.32348898E-023    8.99972506E-022   -3.03620376E-018    9.00000000E+002
   3.40000000E-001    6.94197801E-010   -1.38839520E-009    2.08259337E-009   -7.39124290E-019   -7.44721045E-021    6.84165330E-017   -4.04447050E-016   -3.29838269E-022    7.78211520E-021    3.36769636E-016   -8.24368198E-021    2.87858853E-022    2.53712837E-020    2.49681490E-018   -4.36751363E-022   -6.61744490E-023   -2.51372744E-018    9.00000000E+002
   3.50000000E-001    6.84379482E-010   -1.36875901E-009    2.05313841E-009   -2.17186687E-019    1.25509665E-020    7.59042612E-017    4.64045436E-017    3.68198770E-022   -1.29172524E-020   -1.22091620E-016    1.23622143E-021    1.02156806E-021   -5.20131169E-021   -5.31102893E-019    2.51462906E-022   -1.19114008E-021    5.34986092E-019    9.00000000E+002
   3.60000000E-001    6.74946583E-010   -1.34989308E-009    2.02483974E-009    3.67882529E-019   -6.46968976E-021    2.04162047E-017   -8.31351299E-017   -7.83340040E-022    7.25271961E-021    6.23510429E-017    9.75307981E-021   -5.53797420E-022    1.73906452E-020   -7.64897221E-019   -7.94093388E-023    6.35274710E-022    7.37751428E-019    9.00000000E+002
   3.70000000E-001    6.65875021E-010   -1.33174999E-009    1.99762505E-009   -1.19019555E-019   -1.24769856E-021    2.44379914E-017   -4.74668584E-017    1.37932367E-022    1.11173074E-021    2.31478847E-017    3.12622573E-021    1.37084507E-021    2.36507481E-020   -1.10412068E-018    9.26442286E-023   -1.34995876E-021    1.07723018E-018    9.00000000E+002
   3.80000000E-001    6.57142748E-010   -1.31428560E-009    1.97142826E-009    2.46889528E-019   -2.07643013E-021   -2.54086496E-017    1.00987547E-016   -3.08124778E-022    2.38228016E-021   -7.58257843E-017    2.77095165E-021    7.04964677E-022    3.77723755E-020   -2.06545014E-018   -2.64697796E-022   -5.16160702E-022    2.02498270E-018    9.00000000E+002
   3.90000000E-001    6.48729542E-010   -1.29745917E-009    1.94618864E-009    1.89348208E-019    3.50827977E-022   -3.44259950E-017    8.54901174E-017    6.00326330E-022   -9.52912066E-022   -5.12534688E-017    1.12098483E-020   -1.85081662E-022    1.29701920E-020   -3.36986764E-018   -1.58818678E-022    3.17637355E-022    3.34571386E-018    9.00000000E+002
