 Experimental condition #  1
Vol [cm3]             N2                 NH3                H2                 N2(T)              N(T)               H(T)               NH3(T)             NH2(T)             NH(T)              RU(T)              N2(S)              N(S)               H(S)               NH3(S)             NH2(S)             NH(S)              RU(S)                     Temp. [K]
   7.20000000E-001    4.75784491E-010   -9.51569182E-010    1.42735347E-009    1.11357095E-018    1.02956327E-020    1.88353385E-017    1.97266060E-016   -5.56692552E-022   -9.74087889E-021   -2.17214967E-016    1.01737528E-020    9.34197104E-022   -2.43521972E-021   -6.71194201E-019    6.88214270E-022   -1.29701920E-021    6.63130276E-019    9.00000000E+002
   7.30000000E-001    4.72432100E-010   -9.44864523E-010    1.41729628E-009    1.34170989E-018   -5.10161058E-021    3.92701595E-017    3.19975148E-016    1.79911783E-023    5.08219768E-021   -3.60587016E-016   -1.37321804E-020   -1.54651755E-021   -1.27981384E-020   -5.37468875E-020   -1.98523347E-022    1.64112634E-021    8.03811209E-020    9.00000000E+002
   7.40000000E-001    4.69146489E-010   -9.38293247E-010    1.40743947E-009    3.92470149E-019    6.82760047E-022    4.08984937E-018    2.71566647E-016    3.74299227E-022   -1.05879118E-021   -2.76048965E-016   -2.18241265E-020   -3.78559207E-021   -2.58874445E-020   -3.37187934E-018    1.58818678E-022    3.91752738E-021    3.41930016E-018    9.00000000E+002
   7.50000000E-001    4.65927035E-010   -9.31853740E-010    1.39778110E-009    4.39024559E-019    2.44163037E-021    2.63596426E-018   -3.33944961E-016    6.32999964E-022   -3.07049443E-021    3.30869968E-016    2.88577466E-021   -1.11286812E-021   -3.49268742E-020    3.11169465E-018   -4.63221143E-022    1.19114008E-021   -3.07926860E-018    9.00000000E+002
   7.60000000E-001    4.62770490E-010   -9.25541077E-010    1.38831144E-009   -5.25273919E-019    2.34456590E-021    5.40954233E-017    9.29908950E-017    1.14647233E-021   -3.49401091E-021   -1.46561041E-016    1.13877438E-020    2.00022612E-021    1.59877469E-020    5.29013104E-018   -5.02925812E-022   -1.81317990E-021   -5.31719065E-018    9.00000000E+002
   7.70000000E-001    4.59674903E-010   -9.19349790E-010    1.37902465E-009   -3.83627395E-019    3.23107087E-021    1.10458445E-016   -1.83147067E-017    5.43871253E-023   -3.28225267E-021   -9.17601138E-017   -9.75297641E-022   -1.22577827E-021    2.35713387E-020    2.36003231E-018   -3.97046694E-023    1.32348898E-021   -2.38268636E-018    9.00000000E+002
   7.80000000E-001    4.56638350E-010   -9.13276358E-010    1.36991500E-009    1.42254081E-018    5.18425109E-021    1.05684525E-016   -3.49789785E-016    4.35717388E-022   -5.61159328E-021    2.42682711E-016    2.22770596E-020    6.56264418E-022    1.89258924E-021    3.91298781E-018   -1.19114008E-022   -7.41153829E-022   -3.93695346E-018    9.00000000E+002
   7.90000000E-001    4.53658992E-010   -9.07317947E-010    1.36097697E-009   -1.36751215E-018    4.61359987E-021    9.14567426E-018   -3.54288949E-017    1.10656086E-021   -5.71747239E-021    2.76507301E-017   -2.54185881E-020    1.17986975E-021    4.18619564E-020    5.92790714E-019    2.24993127E-022   -1.25731453E-021   -6.09381631E-019    9.00000000E+002
   8.00000000E-001    4.50735055E-010   -9.01469747E-010    1.35220523E-009    3.84666980E-019   -9.96892225E-021   -1.34745560E-016   -3.66795989E-016    4.41507652E-022    9.52912066E-021    5.01156880E-016    6.47222300E-021   -8.74226510E-022   -3.69121077E-020    2.86025821E-018    1.98523347E-022    6.08804931E-022   -2.82975143E-018    9.00000000E+002
   8.10000000E-001    4.47864855E-010   -8.95730127E-010    1.34359460E-009    3.95756447E-019    8.86427424E-022   -6.18100524E-017    4.13807405E-016    6.94624919E-022   -1.58818678E-021   -3.52393102E-016    4.53134709E-021   -2.28643061E-021   -4.31060361E-020    2.15932521E-018    2.77932686E-022    2.02493814E-021   -2.12076696E-018    9.00000000E+002
   8.20000000E-001    4.45046773E-010   -8.90093493E-010    1.33514031E-009   -2.06246988E-018   -3.49881889E-021    8.43825699E-018   -4.44473216E-017    1.14771310E-022    3.38813179E-021    3.80715305E-017   -4.01472110E-020   -2.07953206E-021   -5.32571966E-020   -4.31073596E-018    5.29395592E-023    2.03817303E-021    4.40412878E-018    9.00000000E+002
   8.30000000E-001    4.42278847E-010   -8.84557439E-010    1.32683658E-009   -2.26609843E-018   -1.12878617E-020   -1.00342738E-016   -2.48737434E-016   -1.30880652E-021    1.25996151E-020    3.51346267E-016   -2.35606888E-020    9.58081944E-022    3.59856654E-020   -7.12182655E-019    5.16160702E-022   -1.11173074E-021    6.99395167E-019    9.00000000E+002
   8.40000000E-001    4.39560009E-010   -8.79120039E-010    1.31868000E-009   -7.86959356E-019   -2.40960297E-021    4.21124422E-017    2.75947694E-017    9.28717033E-022    1.48230766E-021   -6.89202537E-017   -5.44429600E-021    1.78298781E-021    4.75132544E-020   -4.21803879E-018    6.08804931E-022   -1.85288457E-021    4.17543092E-018    9.00000000E+002
   8.50000000E-001    4.36888831E-010   -8.73777802E-010    1.31066648E-009    1.30525590E-018    1.73780307E-021    4.07932747E-017    1.34432643E-016   -2.55598809E-022   -1.48230766E-021   -1.76531173E-016    1.67842184E-020    2.43046343E-021   -5.78364684E-021    3.32767481E-018    6.61744490E-023   -2.71315241E-021   -3.33845887E-018    9.00000000E+002
   8.60000000E-001    4.34263946E-010   -8.68527869E-010    1.30279183E-009   -1.97253842E-018   -9.71999258E-021    8.97280881E-018   -1.68716028E-017   -1.08174545E-021    1.07996701E-020    9.87133448E-018    5.28215309E-020   -1.03449275E-021    8.60267837E-022   -2.54517519E-018    9.26442286E-023    1.01908651E-021    2.49141615E-018    9.00000000E+002
   8.70000000E-001    4.31684026E-010   -8.63368441E-010    1.29505219E-009    9.94040235E-019    2.02343887E-021   -2.14345411E-016    3.95263602E-016    1.78195383E-021   -3.81164826E-021   -1.81912225E-016   -2.88360848E-020   -7.73103680E-022   -3.98370183E-021   -7.77604039E-018    3.04402465E-022    8.20563168E-022    7.80850831E-018    9.00000000E+002
   8.80000000E-001    4.29147821E-010   -8.58295689E-010    1.28744349E-009   -8.13798923E-018    1.93443941E-021   -9.73980201E-017    6.48482380E-017   -2.42570715E-022   -1.69406589E-021    4.06877735E-017    1.95877403E-020    3.38792499E-021    7.00919764E-020   -9.88169812E-019    6.35274710E-022   -3.70576914E-021    8.98172665E-019    9.00000000E+002
   8.90000000E-001    4.26654085E-010   -8.53308182E-010    1.27996227E-009   -3.74213045E-019   -8.39784777E-021   -3.00090731E-017    1.46262136E-017   -1.78050627E-022    8.57620859E-021    1.57570722E-017   -3.77879368E-020    1.88400724E-021    5.54541883E-021   -7.64831047E-019    3.04402465E-022   -2.03817303E-021    7.96923328E-019    9.00000000E+002
   9.00000000E-001    4.24201670E-010   -8.48403262E-010    1.27260499E-009    1.12774470E-019   -1.93224221E-021    4.57776061E-017   -8.00228305E-017   -7.77549776E-023    2.01170325E-021    3.41324482E-017   -3.36180677E-020   -3.14742223E-022   -4.30663314E-020    1.23318733E-018   -5.82335151E-022    4.63221143E-022   -1.15606907E-018    9.00000000E+002
   9.10000000E-001    4.21789446E-010   -8.43578945E-010    1.26536834E-009   -2.24161303E-018   -3.50745259E-021   -6.51546739E-018    5.30554809E-017    1.18059353E-021    2.32934060E-021   -4.42984030E-017    7.02193622E-021   -2.79587047E-022   -5.00543532E-020    3.83510049E-018   -2.64697796E-023    7.94093388E-023   -3.79184142E-018    9.00000000E+002
   9.20000000E-001    4.19416321E-010   -8.38832536E-010    1.25824900E-009   -1.22066940E-019   -4.47029083E-021   -7.70653606E-017   -1.03839278E-016    6.61537695E-022    3.81164826E-021    1.81026702E-016    2.45894947E-021   -1.95328362E-021   -4.83602873E-020   -6.82073281E-019   -7.67623608E-022    2.24993127E-021    7.28445595E-019    9.00000000E+002
   9.30000000E-001    4.17081254E-010   -8.34162401E-010    1.25124378E-009    1.17861450E-018    1.75775880E-021   -3.62950009E-017   -1.08175362E-016    3.60857542E-022   -2.11758237E-021    1.43291747E-016   -7.31589553E-022   -2.34846916E-021   -2.02361465E-020   -1.43521792E-018    1.72053567E-022    2.28963594E-021    1.45607244E-018    9.00000000E+002
   9.40000000E-001    4.14783241E-010   -8.29566476E-010    1.24434968E-009    1.57829277E-018    4.54142836E-021    9.62106749E-017   -1.35649291E-017   -1.97696166E-022   -4.34104385E-021   -8.42240413E-017    3.50456780E-020    2.12378622E-022   -3.41063110E-020    5.26994783E-018   -3.97046694E-023   -5.16160702E-022   -5.27054371E-018    9.00000000E+002
   9.50000000E-001    4.12521401E-010   -8.25042875E-010    1.23756416E-009   -5.51487467E-019    4.79671697E-021    9.03708641E-017    8.09002566E-017    7.19647133E-023   -4.87043945E-021   -1.70719632E-016   -7.61905722E-021    2.10910377E-021   -1.99052743E-020   -7.08666145E-018    7.67623608E-022   -2.50139417E-021    7.11381045E-018    9.00000000E+002
   9.60000000E-001    4.10294705E-010   -8.20589417E-010    1.23088417E-009   -1.79729065E-018    5.27919592E-021   -1.21802900E-016    3.59458159E-018    2.13205803E-021   -7.41153829E-021    1.20005609E-016    1.10226987E-021   -1.78102326E-021    2.17316891E-020    6.50321457E-018   -3.70576914E-022    1.94552880E-021   -6.52584245E-018    9.00000000E+002
   9.70000000E-001    4.08102247E-010   -8.16204623E-010    1.22430673E-009    1.32847360E-018    4.85384414E-021    4.09355282E-017    1.20508422E-016   -9.18170480E-023   -4.76456033E-021   -1.62772421E-016   -8.29455359E-022    2.08242719E-021    3.41857204E-020    4.96183960E-018    2.77932686E-022   -2.31610572E-021   -4.99524011E-018    9.00000000E+002
   9.80000000E-001    4.05943166E-010   -8.11886552E-010    1.21782944E-009    6.80303916E-019    2.26818094E-021    1.23780791E-016    2.22418727E-016   -7.92025437E-022   -1.48230766E-021   -3.46879816E-016   -1.82147239E-020    1.06582222E-021    1.40819227E-020   -4.02944161E-018   -1.05879118E-022   -8.47032947E-022    4.03346150E-018    9.00000000E+002
   9.90000000E-001    4.03816619E-010   -8.07633134E-010    1.21144989E-009   -1.36467413E-018   -1.16503478E-020   -6.19760189E-017   -9.96193385E-017   -1.00502444E-022    1.17525821E-020    1.62960030E-016   -4.16842160E-021   -1.61579393E-021   -6.72200053E-020   -2.91874319E-018   -5.95570041E-022    1.94552880E-021    2.99039745E-018    9.00000000E+002
   1.00000000E+000    4.01721793E-010   -8.03443649E-010    1.20516540E-009   -1.12044031E-019   -2.91676809E-021   -5.27185324E-017    5.92046872E-017    1.64526224E-021    1.27054942E-021   -6.37410981E-018   -4.88248526E-021   -2.30524897E-021    2.25390173E-020    4.94286076E-018    1.19114008E-022    2.21022660E-021   -4.96054139E-018    9.00000000E+002
