 Experimental condition #  1
Vol [cm3]             N2                 NH3                H2                        Temp. [K]     Pressure [atm]
   5.70000000E-001    4.15169307E-002    8.33932277E-001    1.24550792E-001    9.00000000E+002    1.00008612E+000
   5.80000000E-001    4.19124818E-002    8.32350073E-001    1.25737445E-001    9.00000000E+002    1.00008734E+000
   5.90000000E-001    4.23039358E-002    8.30784257E-001    1.26911807E-001    9.00000000E+002    1.00008853E+000
   6.00000000E-001    4.26913956E-002    8.29234418E-001    1.28074187E-001    9.00000000E+002    1.00008969E+000
   6.10000000E-001    4.30749601E-002    8.27700160E-001    1.29224880E-001    9.00000000E+002    1.00009079E+000
   6.20000000E-001    4.34547241E-002    8.26181103E-001    1.30364172E-001    9.00000000E+002    1.00009181E+000
   6.30000000E-001    4.38307790E-002    8.24676884E-001    1.31492337E-001    9.00000000E+002    1.00009273E+000
   6.40000000E-001    4.42032127E-002    8.23187149E-001    1.32609638E-001    9.00000000E+002    1.00009235E+000
   6.50000000E-001    4.45721094E-002    8.21711562E-001    1.33716328E-001    9.00000000E+002    1.00009197E+000
   6.60000000E-001    4.49375506E-002    8.20249798E-001    1.34812652E-001    9.00000000E+002    1.00009166E+000
   6.70000000E-001    4.52996142E-002    8.18801543E-001    1.35898843E-001    9.00000000E+002    1.00009282E+000
   6.80000000E-001    4.56583759E-002    8.17366496E-001    1.36975128E-001    9.00000000E+002    1.00009377E+000
   6.90000000E-001    4.60139082E-002    8.15944367E-001    1.38041725E-001    9.00000000E+002    1.00009470E+000
   7.00000000E-001    4.63662815E-002    8.14534874E-001    1.39098844E-001    9.00000000E+002    1.00009555E+000
   7.10000000E-001    4.67155634E-002    8.13137747E-001    1.40146690E-001    9.00000000E+002    1.00009640E+000
   7.20000000E-001    4.70618192E-002    8.11752723E-001    1.41185458E-001    9.00000000E+002    1.00009724E+000
   7.30000000E-001    4.74051124E-002    8.10379550E-001    1.42215337E-001    9.00000000E+002    1.00009764E+000
   7.40000000E-001    4.77455035E-002    8.09017986E-001    1.43236510E-001    9.00000000E+002    1.00010170E+000
   7.50000000E-001    4.80830523E-002    8.07667791E-001    1.44249157E-001    9.00000000E+002    1.00009837E+000
   7.60000000E-001    4.84178159E-002    8.06328736E-001    1.45253448E-001    9.00000000E+002    1.00009555E+000
   7.70000000E-001    4.87498495E-002    8.05000602E-001    1.46249549E-001    9.00000000E+002    1.00009279E+000
   7.80000000E-001    4.90792067E-002    8.03683173E-001    1.47237620E-001    9.00000000E+002    1.00009007E+000
   7.90000000E-001    4.94059393E-002    8.02376243E-001    1.48217818E-001    9.00000000E+002    1.00008740E+000
   8.00000000E-001    4.97300974E-002    8.01079610E-001    1.49190292E-001    9.00000000E+002    1.00008480E+000
   8.10000000E-001    5.00517297E-002    7.99793081E-001    1.50155189E-001    9.00000000E+002    1.00008225E+000
   8.20000000E-001    5.03708833E-002    7.98516467E-001    1.51112650E-001    9.00000000E+002    1.00007978E+000
   8.30000000E-001    5.06876038E-002    7.97249585E-001    1.52062811E-001    9.00000000E+002    1.00008030E+000
   8.40000000E-001    5.10019355E-002    7.95992258E-001    1.53005807E-001    9.00000000E+002    1.00008080E+000
   8.50000000E-001    5.13139216E-002    7.94744314E-001    1.53941765E-001    9.00000000E+002    1.00008130E+000
   8.60000000E-001    5.16236038E-002    7.93505585E-001    1.54870811E-001    9.00000000E+002    1.00008178E+000
   8.70000000E-001    5.19310228E-002    7.92275909E-001    1.55793068E-001    9.00000000E+002    1.00008225E+000
   8.80000000E-001    5.22362182E-002    7.91055127E-001    1.56708654E-001    9.00000000E+002    1.00008272E+000
   8.90000000E-001    5.25392282E-002    7.89843087E-001    1.57617685E-001    9.00000000E+002    1.00008316E+000
   9.00000000E-001    5.28400902E-002    7.88639639E-001    1.58520271E-001    9.00000000E+002    1.00008360E+000
   9.10000000E-001    5.31388405E-002    7.87444638E-001    1.59416521E-001    9.00000000E+002    1.00008402E+000
   9.20000000E-001    5.34355143E-002    7.86257943E-001    1.60306543E-001    9.00000000E+002    1.00008443E+000
   9.30000000E-001    5.37301461E-002    7.85079416E-001    1.61190438E-001    9.00000000E+002    1.00008483E+000
   9.40000000E-001    5.40227692E-002    7.83908923E-001    1.62068308E-001    9.00000000E+002    1.00008521E+000
   9.50000000E-001    5.43134162E-002    7.82746335E-001    1.62940249E-001    9.00000000E+002    1.00008490E+000
   9.60000000E-001    5.46021189E-002    7.81591525E-001    1.63806357E-001    9.00000000E+002    1.00008460E+000
   9.70000000E-001    5.48889080E-002    7.80444368E-001    1.64666724E-001    9.00000000E+002    1.00008431E+000
   9.80000000E-001    5.51738137E-002    7.79304745E-001    1.65521441E-001    9.00000000E+002    1.00008401E+000
   9.90000000E-001    5.54568653E-002    7.78172539E-001    1.66370596E-001    9.00000000E+002    1.00008373E+000
   1.00000000E+000    5.57380913E-002    7.77047635E-001    1.67214274E-001    9.00000000E+002    1.00008345E+000
