# Gas Mole fractions
z(m)            CH2CH2          CH3CH3          CH4             CHCH            H2              N2              
3.700000e-05    2.162290e-04    6.974986e-02    4.404729e-07    1.627795e-05    2.485646e-04    9.297686e-01    
4.150000e-05    2.340480e-04    6.972857e-02    5.295914e-07    1.818957e-05    2.701623e-04    9.297485e-01    
4.600000e-05    2.515369e-04    6.970759e-02    6.267132e-07    2.013211e-05    2.914878e-04    9.297286e-01    
5.050000e-05    2.687894e-04    6.968682e-02    7.320906e-07    2.210977e-05    3.126429e-04    9.297089e-01    
5.500000e-05    2.858786e-04    6.966618e-02    8.460040e-07    2.412616e-05    3.337079e-04    9.296893e-01    
5.950000e-05    3.028626e-04    6.964560e-02    9.687571e-07    2.618446e-05    3.547471e-04    9.296696e-01    
6.400000e-05    3.197887e-04    6.962503e-02    1.100675e-06    2.828754e-05    3.758134e-04    9.296500e-01    
6.850000e-05    3.366958e-04    6.960442e-02    1.242100e-06    3.043795e-05    3.969506e-04    9.296303e-01    
7.300000e-05    3.536161e-04    6.958373e-02    1.393394e-06    3.263807e-05    4.181955e-04    9.296104e-01    
7.750000e-05    3.705767e-04    6.956293e-02    1.554933e-06    3.489006e-05    4.395794e-04    9.295905e-01    
8.200000e-05    3.876007e-04    6.954200e-02    1.727108e-06    3.719594e-05    4.611290e-04    9.295703e-01    
8.650000e-05    4.047075e-04    6.952091e-02    1.910324e-06    3.955760e-05    4.828676e-04    9.295500e-01    
9.100000e-05    4.219140e-04    6.949965e-02    2.105000e-06    4.197680e-05    5.048151e-04    9.295295e-01    
9.550000e-05    4.392344e-04    6.947818e-02    2.311567e-06    4.445520e-05    5.269890e-04    9.295088e-01    
1.000000e-04    4.566813e-04    6.945651e-02    2.530468e-06    4.699434e-05    5.494047e-04    9.294879e-01    
1.450000e-04    6.398485e-04    6.922596e-02    5.502816e-06    7.600904e-05    7.891151e-04    9.292636e-01    
1.900000e-04    8.411540e-04    6.896690e-02    1.026492e-05    1.122192e-04    1.060460e-03    9.290090e-01    
2.350000e-04    1.060097e-03    6.867926e-02    1.737311e-05    1.559223e-04    1.363255e-03    9.287241e-01    
2.800000e-04    1.293282e-03    6.836692e-02    2.736981e-05    2.066499e-04    1.692897e-03    9.284129e-01    
3.250000e-04    1.535668e-03    6.803650e-02    4.070025e-05    2.631486e-04    2.041615e-03    9.280824e-01    
3.700000e-04    1.781365e-03    6.769642e-02    5.762514e-05    3.234307e-04    2.399414e-03    9.277417e-01    
4.150000e-04    2.024261e-03    6.735617e-02    7.814569e-05    3.849085e-04    2.755005e-03    9.274015e-01    
4.600000e-04    2.258560e-03    6.702552e-02    1.019550e-04    4.446004e-04    3.096783e-03    9.270726e-01    
5.050000e-04    2.479214e-03    6.671372e-02    1.284304e-04    4.993896e-04    3.413778e-03    9.267655e-01    
5.500000e-04    2.682256e-03    6.642886e-02    1.566698e-04    5.463068e-04    3.696535e-03    9.264894e-01    
5.950000e-04    2.864998e-03    6.617727e-02    1.855710e-04    5.828034e-04    3.937819e-03    9.262515e-01    
6.400000e-04    3.026113e-03    6.596312e-02    2.139430e-04    6.069915e-04    4.133124e-03    9.260567e-01    
6.850000e-04    3.165587e-03    6.578818e-02    2.406308e-04    6.178273e-04    4.280926e-03    9.259068e-01    
7.300000e-04    3.284549e-03    6.565185e-02    2.646374e-04    6.152287e-04    4.382687e-03    9.258010e-01    
7.750000e-04    3.384978e-03    6.555132e-02    2.852234e-04    6.001222e-04    4.442611e-03    9.257357e-01    
8.200000e-04    3.469325e-03    6.548199e-02    3.019714e-04    5.744232e-04    4.467186e-03    9.257051e-01    
8.650000e-04    3.540049e-03    6.543806e-02    3.148077e-04    5.409482e-04    4.464541e-03    9.257016e-01    
9.100000e-04    3.599167e-03    6.541319e-02    3.239806e-04    5.032520e-04    4.443680e-03    9.257167e-01    
9.550000e-04    3.647901e-03    6.540124e-02    3.300003e-04    4.653530e-04    4.413607e-03    9.257419e-01    
1.000000e-03    3.686596e-03    6.539691e-02    3.335486e-04    4.312789e-04    4.382380e-03    9.257693e-01    
1.000000e-03    3.686596e-03    6.539691e-02    3.335486e-04    4.312789e-04    4.382380e-03    9.257693e-01    
