t(s),H2,H,O,O2,OH,H2O,HO2,H2O2,AR,N2
0.00000000e+00,1.11906744e-01,0.00000000e+00,0.00000000e+00,8.88093256e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.00000000e+02,1.07536110e-01,6.69303783e-10,5.92462473e-10,8.53286389e-01,1.27836178e-10,3.89261978e-02,1.27100265e-05,2.38591488e-04,0.00000000e+00,0.00000000e+00
