t(s),H2,H,O,O2,OH,H2O,HO2,H2O2,AR,N2
0.00000000e+00,6.66666667e-01,0.00000000e+00,0.00000000e+00,3.33333333e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.00000000e+02,6.49107924e-01,8.08008376e-09,4.50631062e-10,3.24507770e-01,9.14701061e-11,2.62942528e-02,4.68604740e-06,8.53592035e-05,0.00000000e+00,0.00000000e+00
