z(m),N2,NH3,H2
9.100000e-06,4.050879e-04,9.995075e-01,8.745525e-05
9.550000e-06,4.246706e-04,9.994836e-01,9.168301e-05
1.000000e-05,4.442182e-04,9.994599e-01,9.590317e-05
1.450000e-05,6.378697e-04,9.992244e-01,1.377110e-04
1.900000e-05,8.284729e-04,9.989927e-01,1.788607e-04
2.350000e-05,1.016309e-03,9.987643e-01,2.194131e-04
2.800000e-05,1.201592e-03,9.985390e-01,2.594142e-04
3.250000e-05,1.384480e-03,9.983166e-01,2.988982e-04
3.700000e-05,1.565104e-03,9.980970e-01,3.378935e-04
4.150000e-05,1.743577e-03,9.978800e-01,3.764245e-04
4.600000e-05,1.919997e-03,9.976655e-01,4.145120e-04
5.050000e-05,2.094451e-03,9.974534e-01,4.521753e-04
5.500000e-05,2.267021e-03,9.972435e-01,4.894319e-04
5.950000e-05,2.437777e-03,9.970359e-01,5.262966e-04
6.400000e-05,2.606781e-03,9.968304e-01,5.627834e-04
6.850000e-05,2.774099e-03,9.966270e-01,5.989059e-04
7.300000e-05,2.939785e-03,9.964255e-01,6.346762e-04
7.750000e-05,3.103892e-03,9.962260e-01,6.701057e-04
8.200000e-05,3.266471e-03,9.960283e-01,7.052051e-04
8.650000e-05,3.427567e-03,9.958324e-01,7.399845e-04
9.100000e-05,3.587225e-03,9.956383e-01,7.744535e-04
9.550000e-05,3.745487e-03,9.954459e-01,8.086210e-04
1.000000e-04,3.902391e-03,9.952551e-01,8.424952e-04
1.450000e-04,5.404375e-03,9.934289e-01,1.166762e-03
1.900000e-04,6.803248e-03,9.917280e-01,1.468767e-03
2.350000e-04,8.119598e-03,9.901274e-01,1.752957e-03
2.800000e-04,9.366747e-03,9.886110e-01,2.022206e-03
3.250000e-04,1.055552e-02,9.871656e-01,2.278854e-03
3.700000e-04,1.169523e-02,9.857799e-01,2.524907e-03
4.150000e-04,1.279040e-02,9.844483e-01,2.761345e-03
4.600000e-04,1.384685e-02,9.831637e-01,2.989424e-03
5.050000e-04,1.486887e-02,9.819211e-01,3.210070e-03
5.500000e-04,1.585959e-02,9.807165e-01,3.423958e-03
5.950000e-04,1.682172e-02,9.795466e-01,3.631677e-03
6.400000e-04,1.775819e-02,9.784080e-01,3.833852e-03
6.850000e-04,1.867070e-02,9.772984e-01,4.030856e-03
7.300000e-04,1.956147e-02,9.762154e-01,4.223166e-03
7.750000e-04,2.043059e-02,9.751586e-01,4.410802e-03
8.200000e-04,2.127838e-02,9.741278e-01,4.593835e-03
8.650000e-04,2.211156e-02,9.731147e-01,4.773713e-03
9.100000e-04,2.292811e-02,9.721219e-01,4.950000e-03
9.550000e-04,2.372899e-02,9.711481e-01,5.122902e-03
1.000000e-03,2.451655e-02,9.701905e-01,5.292930e-03
1.450000e-03,3.170028e-02,9.614559e-01,6.843844e-03
1.900000e-03,3.798104e-02,9.538191e-01,8.199809e-03
2.350000e-03,4.362094e-02,9.469617e-01,9.417413e-03
2.800000e-03,4.877694e-02,9.406925e-01,1.053055e-02
3.250000e-03,5.355549e-02,9.348824e-01,1.156219e-02
3.700000e-03,5.802688e-02,9.294457e-01,1.252751e-02
4.150000e-03,6.223560e-02,9.243284e-01,1.343613e-02
4.600000e-03,6.622427e-02,9.194787e-01,1.429725e-02
5.050000e-03,7.002502e-02,9.148574e-01,1.511780e-02
5.500000e-03,7.366008e-02,9.104376e-01,1.590256e-02
5.950000e-03,7.714842e-02,9.061963e-01,1.665563e-02
6.400000e-03,8.050600e-02,9.021139e-01,1.738050e-02
6.850000e-03,8.374578e-02,8.981747e-01,1.807994e-02
7.300000e-03,8.687935e-02,8.943646e-01,1.875645e-02
7.750000e-03,8.991610e-02,8.906723e-01,1.941206e-02
8.200000e-03,9.286449e-02,8.870878e-01,2.004852e-02
8.650000e-03,9.573438e-02,8.835983e-01,2.066809e-02
9.100000e-03,9.852314e-02,8.802077e-01,2.127013e-02
9.550000e-03,1.012441e-01,8.768993e-01,2.185756e-02
1.000000e-02,1.039007e-01,8.736690e-01,2.243112e-02
1.000000e-02,1.039007e-01,8.736690e-01,2.243112e-02
