Rxn-Species-ids	Velocity(m/s)	Density	Pressure(Pa)	CH2CH2	CH3CH3	CH4	CHCH	H2	N2	CH2CH3(S)	CH3(S)	H(S)	CH2(S)	CHCH3(S)	CH2CH2(S)	CH(S)	CCH3(S)	CHCH2(S)	C(S)	CCH2(S)	CHCH(S)	CCH(S)	CC(S)	CH4(S)	PT(S)
0020	1.847894e-07	-1.847893e-07	-7.177143e-15	2.672112e-04	-7.464127e-06	1.953341e-02	-5.828347e-04	-8.166845e-05	-1.452191e-17	3.045035e-04	-9.289093e-01	2.539005e-04	-3.852354e-05	-3.161346e-04	5.646903e-04	5.813822e-06	-2.720271e-04	-2.672466e-04	5.061925e-05	-2.268858e-04	-2.847502e-04	-2.416596e-04	-1.968546e-04	1.982419e-02	2.980930e-04
0021	4.547059e-06	-4.547059e-06	-1.766059e-13	8.605607e-03	-2.334235e-04	6.445583e-01	-2.751603e-02	-4.000219e-03	-1.017709e-17	1.421439e-02	6.593866e-01	1.162677e-02	-2.254026e-03	-1.151610e-02	2.236208e-02	-9.830842e-05	-9.373374e-03	-9.375383e-03	2.050020e-03	-7.230527e-03	-1.376264e-02	-1.182166e-02	-9.673364e-03	6.583486e-01	1.377340e-02
0022	1.025060e-11	-1.025545e-11	-3.980854e-19	1.018452e-08	-1.616681e-10	2.109356e-08	2.560512e-09	9.021637e-09	4.737445e-17	-4.062838e-09	4.174130e-09	1.950826e-09	5.203180e-09	8.941853e-09	7.654199e-09	7.457188e-10	4.484282e-09	4.479944e-09	-2.979417e-09	2.879789e-11	2.846147e-11	4.833148e-10	-3.454542e-09	1.855542e-08	-2.506372e-09
0023	9.754093e-08	-9.754080e-08	-3.788449e-15	9.061015e-05	-1.436213e-06	1.950985e-04	1.961820e-05	7.974586e-05	-1.102004e-16	-5.787871e-05	3.255523e-05	-4.706278e-06	5.079588e-05	5.760837e-05	4.626317e-05	1.140163e-05	1.822736e-05	1.806026e-05	-2.803094e-05	-2.116130e-05	-2.471153e-05	2.747477e-05	-1.195703e-05	1.506785e-04	-4.410483e-05
0024	7.193575e-08	-7.193569e-08	-2.793955e-15	6.860842e-05	-1.031751e-06	-5.132878e-05	2.883640e-06	6.118169e-05	-6.828416e-17	1.253875e-05	-2.274877e-05	5.331800e-05	5.447191e-05	-1.179861e-04	9.153704e-05	2.421624e-05	-1.482971e-04	6.963090e-05	-6.131743e-06	-1.786054e-04	2.582496e-05	-4.969829e-06	-3.531694e-05	-2.824322e-05	2.305348e-05
0025	-7.120538e-08	7.120542e-08	2.765588e-15	-7.434914e-05	1.108734e-06	-1.337231e-04	3.891190e-05	-5.831968e-05	-2.145246e-17	-1.193447e-05	-3.499090e-05	-5.095111e-05	-3.090494e-05	-8.245633e-05	-9.628464e-05	-2.056533e-06	-5.359364e-05	-5.372372e-05	2.679879e-05	-2.472576e-05	1.680812e-05	4.681980e-05	7.567532e-05	-1.556015e-04	-2.207773e-05
0026	-1.657846e-05	1.657846e-05	6.439005e-13	-1.742162e-02	2.590156e-04	-3.128211e-02	9.781018e-03	-1.357657e-02	-9.426562e-16	-2.986622e-03	-8.165870e-03	-1.207130e-02	-7.195276e-03	-1.919333e-02	-2.273740e-02	-4.725637e-04	-1.247346e-02	-1.250412e-02	6.245489e-03	-5.752377e-03	4.423509e-03	1.112185e-02	1.783995e-02	-3.658441e-02	-5.348969e-03
0027	-4.614369e-11	4.615325e-11	1.792137e-18	-4.737354e-08	8.938406e-10	-9.311205e-07	1.626907e-08	-2.803862e-08	1.079751e-16	-1.782623e-08	-4.208066e-07	-3.149844e-08	-2.333613e-08	-1.507599e-04	-6.501159e-08	-9.576775e-09	6.233813e-08	-1.514954e-08	4.213167e-09	6.020595e-08	-1.421518e-09	1.237217e-08	2.615996e-08	-9.479150e-07	-1.773653e-08
0028	5.089546e-09	-5.089526e-09	-1.976757e-16	1.586141e-05	-6.450499e-07	2.326194e-03	-7.120966e-05	-2.396603e-05	4.201838e-17	4.165276e-05	2.569839e-03	2.587960e-05	-9.341753e-06	-8.923695e-05	5.418839e-05	3.160009e-06	-7.612236e-05	-7.363987e-05	1.564429e-05	-6.309790e-05	-3.286326e-05	-1.957634e-05	-7.091922e-06	2.364983e-03	3.838051e-05
0029	4.422890e-11	-4.422557e-11	-1.717807e-18	4.321087e-08	-6.444457e-10	-5.491986e-08	1.277818e-09	3.873471e-08	-7.430422e-17	1.424526e-08	-3.447184e-08	4.006537e-08	4.048125e-08	-2.019540e-07	6.404107e-08	2.131919e-08	-1.682133e-07	5.241901e-08	2.083119e-09	-1.421355e-07	2.210475e-08	2.505913e-09	-1.672906e-08	-3.399823e-08	2.089715e-08
