z(m^3),N2(T),N(T),H(T),NH3(T),NH2(T),NH(T),RU(T),N2(S),N(S),H(S),NH3(S),NH2(S),NH(S),RU(S)
2.25000000e-07,2.37430581e-06,3.29663296e-01,1.22635273e-02,5.29237270e-07,8.95816700e-06,1.32854123e-03,6.56732774e-01,4.82295680e-07,3.29715646e-01,1.09289050e-02,1.05976255e-05,2.22075327e-02,4.96052848e-04,6.36640784e-01
2.35000000e-07,2.44038135e-06,3.28797466e-01,1.25313292e-02,5.33755410e-07,9.07406081e-06,1.34375001e-03,6.57315407e-01,4.96131023e-07,3.28268301e-01,1.12391431e-02,1.07816850e-05,2.22429739e-02,5.01074117e-04,6.37737230e-01
2.45000000e-07,2.50512469e-06,3.27949596e-01,1.27947625e-02,5.38212362e-07,9.18263432e-06,1.35833209e-03,6.57885083e-01,5.09686034e-07,3.26881326e-01,1.15435512e-02,1.09598988e-05,2.22754297e-02,5.05890886e-04,6.38782332e-01
2.55000000e-07,2.56860418e-06,3.27119076e-01,1.30540608e-02,5.42608306e-07,9.28447392e-06,1.37233356e-03,6.58442134e-01,5.22974790e-07,3.25549975e-01,1.18424175e-02,1.11326226e-05,2.23051822e-02,5.10518395e-04,6.39780251e-01
2.65000000e-07,2.63088248e-06,3.26305317e-01,1.33094342e-02,5.46943579e-07,9.38010796e-06,1.38579571e-03,6.58986896e-01,5.36010249e-07,3.24270032e-01,1.21360075e-02,1.13001800e-05,2.23324781e-02,5.14970247e-04,6.40734676e-01
2.75000000e-07,2.69201719e-06,3.25507752e-01,1.35610727e-02,5.51218642e-07,9.47001357e-06,1.39875562e-03,6.59519706e-01,5.48804365e-07,3.23037734e-01,1.24245667e-02,1.14628661e-05,2.23575347e-02,5.19258633e-04,6.41648894e-01
2.85000000e-07,2.75206146e-06,3.24725840e-01,1.38091491e-02,5.55434061e-07,9.55462254e-06,1.41124675e-03,6.60040902e-01,5.61368202e-07,3.21849711e-01,1.27083224e-02,1.16209509e-05,2.23805437e-02,5.23394523e-04,6.42525846e-01
2.95000000e-07,2.81106441e-06,3.23959058e-01,1.40538209e-02,5.59590491e-07,9.63432646e-06,1.42329938e-03,6.60550817e-01,5.73712018e-07,3.20702931e-01,1.29874858e-02,1.17746822e-05,2.24016753e-02,5.27387823e-04,6.43368172e-01
3.05000000e-07,2.86907158e-06,3.23206904e-01,1.42952326e-02,5.63688653e-07,9.70948115e-06,1.43494101e-03,6.61049780e-01,5.85845350e-07,3.19594659e-01,1.32622533e-02,1.19242879e-05,2.24210809e-02,5.31247509e-04,6.44178249e-01
3.15000000e-07,2.92612531e-06,3.22468900e-01,1.45335172e-02,5.67729327e-07,9.78041050e-06,1.44619668e-03,6.61538112e-01,5.97777079e-07,3.18522420e-01,1.35328081e-02,1.20699781e-05,2.24388960e-02,5.34981740e-04,6.44958227e-01
3.25000000e-07,2.98226501e-06,3.21744581e-01,1.47687974e-02,5.71713336e-07,9.84740993e-06,1.45708924e-03,6.62016131e-01,6.09515491e-07,3.17483963e-01,1.37993212e-02,1.22119469e-05,2.24552423e-02,5.38597952e-04,6.45710054e-01
3.35000000e-07,3.03752746e-06,3.21033505e-01,1.50011871e-02,5.75641539e-07,9.91074928e-06,1.46763963e-03,6.62484144e-01,6.21068335e-07,3.16477242e-01,1.40619527e-02,1.23503741e-05,2.24702289e-02,5.42102945e-04,6.46435502e-01
3.45000000e-07,3.09194705e-06,3.20335248e-01,1.52307919e-02,5.79514820e-07,9.97067547e-06,1.47786705e-03,6.62942451e-01,6.32442868e-07,3.15500387e-01,1.43208527e-02,1.24854266e-05,2.24839546e-02,5.45502951e-04,6.47136185e-01
3.55000000e-07,3.14555600e-06,3.19649399e-01,1.54577105e-02,5.83334085e-07,1.00274148e-05,1.48778917e-03,6.63391345e-01,6.43645895e-07,3.14551685e-01,1.45761621e-02,1.26172595e-05,2.24965086e-02,5.48803693e-04,6.47813579e-01
3.65000000e-07,3.19838452e-06,3.18975568e-01,1.56820350e-02,5.87100251e-07,1.00811750e-05,1.49742228e-03,6.63831108e-01,6.54683812e-07,3.13629566e-01,1.48280133e-02,1.27460171e-05,2.25079721e-02,5.52010446e-04,6.48469037e-01
3.75000000e-07,3.25046104e-06,3.18313379e-01,1.59038518e-02,5.90814244e-07,1.01321470e-05,1.50678141e-03,6.64262015e-01,6.65562635e-07,3.12732585e-01,1.50765310e-02,1.28718344e-05,2.25184187e-02,5.55128073e-04,6.49103800e-01
3.85000000e-07,3.30181228e-06,3.17662469e-01,1.61232419e-02,5.94476993e-07,1.01805066e-05,1.51588049e-03,6.64684332e-01,6.76288033e-07,3.11859409e-01,1.53218328e-02,1.29948372e-05,2.25279157e-02,5.58161076e-04,6.49719010e-01
3.95000000e-07,3.35246345e-06,3.17022494e-01,1.63402817e-02,5.98089429e-07,1.02264158e-05,1.52473243e-03,6.65098315e-01,6.86865354e-07,3.11008809e-01,1.55640297e-02,1.31151434e-05,2.25365246e-02,5.61113625e-04,6.50315721e-01
4.05000000e-07,3.40243835e-06,3.16393119e-01,1.65550433e-02,6.01652477e-07,1.02700241e-05,1.53334921e-03,6.65504215e-01,6.97299650e-07,3.10179645e-01,1.58032265e-02,1.32328635e-05,2.25443016e-02,5.63989591e-04,6.50894907e-01
4.15000000e-07,3.45175946e-06,3.15774025e-01,1.67675945e-02,6.05167058e-07,1.03114698e-05,1.54174200e-03,6.65902270e-01,7.07595700e-07,3.09370862e-01,1.60395226e-02,1.33481013e-05,2.25512985e-02,5.66792574e-04,6.51457469e-01
4.25000000e-07,3.50044807e-06,3.15164905e-01,1.69779999e-02,6.08634085e-07,1.03508807e-05,1.54992119e-03,6.66292714e-01,7.17758028e-07,3.08581479e-01,1.62730120e-02,1.34609541e-05,2.25575627e-02,5.69525928e-04,6.52004242e-01
4.35000000e-07,3.54852434e-06,3.14565465e-01,1.71863204e-02,6.12054462e-07,1.03883754e-05,1.55789649e-03,6.66675769e-01,7.27790922e-07,3.07810584e-01,1.65037839e-02,1.35715139e-05,2.25631381e-02,5.72192784e-04,6.52536002e-01
4.45000000e-07,3.59600739e-06,3.13975421e-01,1.73926142e-02,6.15429079e-07,1.04240637e-05,1.56567697e-03,6.67051653e-01,7.37698454e-07,3.07057326e-01,1.67319230e-02,1.36798671e-05,2.25680650e-02,5.74796066e-04,6.53053473e-01
4.55000000e-07,3.64291540e-06,3.13394500e-01,1.75969362e-02,6.18758817e-07,1.04580478e-05,1.57327111e-03,6.67420573e-01,7.47484488e-07,3.06320911e-01,1.69575098e-02,1.37860952e-05,2.25723808e-02,5.77338511e-04,6.53557326e-01
4.65000000e-07,3.68926562e-06,3.12822441e-01,1.77993389e-02,6.22044539e-07,1.04904226e-05,1.58068688e-03,6.67782731e-01,7.57152701e-07,3.05600598e-01,1.71806209e-02,1.38902753e-05,2.25761202e-02,5.79822686e-04,6.54048191e-01
4.75000000e-07,3.73507450e-06,3.12258992e-01,1.79998726e-02,6.25287099e-07,1.05212763e-05,1.58793174e-03,6.68138322e-01,7.66706592e-07,3.04895692e-01,1.74013290e-02,1.39924804e-05,2.25793151e-02,5.82250999e-04,6.54526654e-01
4.85000000e-07,3.78035767e-06,3.11703911e-01,1.81985848e-02,6.28487330e-07,1.05506912e-05,1.59501272e-03,6.68487532e-01,7.76149494e-07,3.04205541e-01,1.76197038e-02,1.40927793e-05,2.25819955e-02,5.84625711e-04,6.54993265e-01
4.95000000e-07,3.82513007e-06,3.11156966e-01,1.83955214e-02,6.31646055e-07,1.05787441e-05,1.60193641e-03,6.68830541e-01,7.85484584e-07,3.03529536e-01,1.78358114e-02,1.41912374e-05,2.25841890e-02,5.86948953e-04,6.55448538e-01
5.05000000e-07,3.86940592e-06,3.10617931e-01,1.85907260e-02,6.34764078e-07,1.06055066e-05,1.60870903e-03,6.69167524e-01,7.94714896e-07,3.02867100e-01,1.80497152e-02,1.42879169e-05,2.25859215e-02,5.89222729e-04,6.55892958e-01
5.15000000e-07,3.91319883e-06,3.10086592e-01,1.87842404e-02,6.37842187e-07,1.06310457e-05,1.61533646e-03,6.69498649e-01,8.03843325e-07,3.02217695e-01,1.82614755e-02,1.43828764e-05,2.25872170e-02,5.91448932e-04,6.56326977e-01
5.25000000e-07,3.95652178e-06,3.09562740e-01,1.89761047e-02,6.40881154e-07,1.06554240e-05,1.62182421e-03,6.69824078e-01,8.12872639e-07,3.01580810e-01,1.84711501e-02,1.44761720e-05,2.25880980e-02,5.93629347e-04,6.56751023e-01
5.35000000e-07,3.99938721e-06,3.09046176e-01,1.91663575e-02,6.43881736e-07,1.06787000e-05,1.62817754e-03,6.70143967e-01,8.21805486e-07,3.00955967e-01,1.86787944e-02,1.45678569e-05,2.25885856e-02,5.95765662e-04,6.57165498e-01
5.45000000e-07,4.04180701e-06,3.08536707e-01,1.93550356e-02,6.46844673e-07,1.07009287e-05,1.63440137e-03,6.70458467e-01,8.30644400e-07,3.00342711e-01,1.88844611e-02,1.46579817e-05,2.25886994e-02,5.97859474e-04,6.57570781e-01
5.55000000e-07,4.08379260e-06,3.08034147e-01,1.95421746e-02,6.49770686e-07,1.07221616e-05,1.64050041e-03,6.70767722e-01,8.39391810e-07,2.99740614e-01,1.90882011e-02,1.47465948e-05,2.25884579e-02,5.99912295e-04,6.57967229e-01
5.65000000e-07,4.12535489e-06,3.07538318e-01,1.97278086e-02,6.52660484e-07,1.07424471e-05,1.64647908e-03,6.71071874e-01,8.48050042e-07,2.99149271e-01,1.92900630e-02,1.48337420e-05,2.25878783e-02,6.01925559e-04,6.58355181e-01
5.75000000e-07,4.16650436e-06,3.07049046e-01,1.99119705e-02,6.55514758e-07,1.07618305e-05,1.65234159e-03,6.71371058e-01,8.56621329e-07,2.98568298e-01,1.94900934e-02,1.49194674e-05,2.25869770e-02,6.03900626e-04,6.58734955e-01
