z(m^3),N2,NH3,H2
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.00000000e-09,2.91518914e-11,-5.83037828e-11,8.74556742e-11
1.50000000e-08,2.50289222e-11,-5.00578441e-11,7.50867666e-11
2.50000000e-08,2.23190973e-11,-4.46381994e-11,6.69572918e-11
3.50000000e-08,2.03659229e-11,-4.07318555e-11,6.10977690e-11
4.50000000e-08,1.88699640e-11,-3.77399390e-11,5.66098918e-11
5.50000000e-08,1.76738740e-11,-3.53477476e-11,5.30216219e-11
6.50000000e-08,1.66867587e-11,-3.33734978e-11,5.00602762e-11
7.50000000e-08,1.58486012e-11,-3.20747022e-11,4.75556980e-11
8.50000000e-08,1.51332852e-11,-3.02665654e-11,4.53998559e-11
9.50000000e-08,1.45045374e-11,-2.90090885e-11,4.35136118e-11
1.05000000e-07,1.39479004e-11,-2.78957976e-11,4.18437012e-11
1.15000000e-07,1.34500908e-11,-2.69001919e-11,4.03502727e-11
1.25000000e-07,1.30010936e-11,-2.60021930e-11,3.90032816e-11
1.35000000e-07,1.25931879e-11,-2.51863737e-11,3.77795614e-11
1.45000000e-07,1.22203049e-11,-2.44406137e-11,3.66609137e-11
1.55000000e-07,1.18775937e-11,-2.37551880e-11,3.56327809e-11
1.65000000e-07,1.15611199e-11,-2.31222344e-11,3.46833589e-11
1.75000000e-07,1.12676503e-11,-2.25353009e-11,3.38029508e-11
1.85000000e-07,1.09944966e-11,-2.19890020e-11,3.29834898e-11
1.95000000e-07,1.07394024e-11,-2.14788060e-11,3.22182096e-11
2.05000000e-07,1.05004534e-11,-2.10008914e-11,3.15013597e-11
2.15000000e-07,1.02760135e-11,-2.05520357e-11,3.08280427e-11
2.25000000e-07,1.00646756e-11,-2.01293809e-11,3.01940256e-11
2.35000000e-07,9.86521795e-12,-1.97304509e-11,2.95956546e-11
2.45000000e-07,9.67657536e-12,-1.93531575e-11,2.90297262e-11
2.55000000e-07,9.49781280e-12,-1.89956547e-11,2.84934384e-11
2.65000000e-07,9.32810700e-12,-1.86562142e-11,2.79843209e-11
2.75000000e-07,9.16672679e-12,-1.83334633e-11,2.75001796e-11
2.85000000e-07,9.01302251e-12,-1.80260490e-11,2.70390668e-11
2.95000000e-07,8.86641350e-12,-1.77328263e-11,2.65992414e-11
3.05000000e-07,8.72637861e-12,-1.74527674e-11,2.61791371e-11
3.15000000e-07,8.59244997e-12,-1.71848818e-11,2.57773474e-11
3.25000000e-07,8.46420227e-12,-1.69283997e-11,2.53926078e-11
3.35000000e-07,8.34125377e-12,-1.66825096e-11,2.50237612e-11
3.45000000e-07,8.22325570e-12,-1.64464986e-11,2.46697659e-11
3.55000000e-07,8.10988971e-12,-1.62197941e-11,2.43296707e-11
3.65000000e-07,8.00086847e-12,-1.60017361e-11,2.40026066e-11
3.75000000e-07,7.89592504e-12,-1.57918461e-11,2.36877769e-11
3.85000000e-07,7.79481698e-12,-1.55896339e-11,2.33844508e-11
3.95000000e-07,7.69732063e-12,-1.53946398e-11,2.30919624e-11
4.05000000e-07,7.60323020e-12,-1.52064686e-11,2.28096915e-11
4.15000000e-07,7.51235576e-12,-1.50247118e-11,2.25370694e-11
4.25000000e-07,7.42452174e-12,-1.48490430e-11,2.22735665e-11
4.35000000e-07,7.33956533e-12,-1.46791408e-11,2.20186979e-11
4.45000000e-07,7.25733630e-12,-1.45146722e-11,2.17720080e-11
4.55000000e-07,7.17769390e-12,-1.43553916e-11,2.15330844e-11
4.65000000e-07,7.10050805e-12,-1.42010160e-11,2.13015256e-11
4.75000000e-07,7.02565672e-12,-1.40513307e-11,2.10769691e-11
4.85000000e-07,6.95302781e-12,-1.39060779e-11,2.08590863e-11
4.95000000e-07,6.88251515e-12,-1.37650360e-11,2.06475436e-11
5.05000000e-07,6.81401889e-12,-1.36280283e-11,2.04420563e-11
5.15000000e-07,6.74744673e-12,-1.34948942e-11,2.02423403e-11
5.25000000e-07,6.68271175e-12,-1.33654219e-11,2.00481340e-11
5.35000000e-07,6.61973248e-12,-1.32394571e-11,1.98591973e-11
5.45000000e-07,6.55843159e-12,-1.31168659e-11,1.96752962e-11
5.55000000e-07,6.49873745e-12,-1.29974695e-11,1.94962123e-11
5.65000000e-07,6.44058226e-12,-1.28811783e-11,1.93217482e-11
5.75000000e-07,6.38390169e-12,-1.27677960e-11,1.91517048e-11
5.85000000e-07,6.32863478e-12,-1.26572934e-11,1.89859031e-11
5.95000000e-07,6.27472595e-12,-1.25494520e-11,1.88241776e-11
6.05000000e-07,6.22211991e-12,-1.24442412e-11,1.86663593e-11
6.15000000e-07,6.17076606e-12,-1.23415253e-11,1.85122931e-11
6.25000000e-07,6.12061619e-12,-1.22412421e-11,1.83618498e-11
6.35000000e-07,6.07162470e-12,-1.21432380e-11,1.82148731e-11
6.45000000e-07,6.02374727e-12,-1.20474996e-11,1.80712407e-11
6.55000000e-07,5.97694375e-12,-1.19538846e-11,1.79308334e-11
6.65000000e-07,5.93117466e-12,-1.18623514e-11,1.77935229e-11
6.75000000e-07,5.88640267e-12,-1.17728057e-11,1.76592068e-11
6.85000000e-07,5.84259268e-12,-1.16851829e-11,1.75277776e-11
6.95000000e-07,5.79971085e-12,-1.15994318e-11,1.73991338e-11
7.05000000e-07,5.75772547e-12,-1.15154448e-11,1.72731772e-11
7.15000000e-07,5.71660561e-12,-1.14332102e-11,1.71498181e-11
7.25000000e-07,5.67632236e-12,-1.13526409e-11,1.70289664e-11
7.35000000e-07,5.62101654e-12,-1.16171746e-11,1.69058459e-11
7.45000000e-07,5.59815529e-12,-1.11963147e-11,1.67944659e-11
7.55000000e-07,5.56021991e-12,-1.11204477e-11,1.66806610e-11
7.65000000e-07,5.52301726e-12,-1.10460385e-11,1.65690491e-11
7.75000000e-07,5.48652390e-12,-1.09730570e-11,1.64595763e-11
7.85000000e-07,5.45071882e-12,-1.09014381e-11,1.63521593e-11
7.95000000e-07,5.41557939e-12,-1.08311630e-11,1.62467389e-11
8.05000000e-07,5.38108580e-12,-1.07621688e-11,1.61432591e-11
8.15000000e-07,5.34721846e-12,-1.06944458e-11,1.60416568e-11
8.25000000e-07,5.31395932e-12,-1.06279235e-11,1.59418794e-11
8.35000000e-07,5.28128993e-12,-1.05625862e-11,1.58438703e-11
8.45000000e-07,5.24919249e-12,-1.04983955e-11,1.57475788e-11
8.55000000e-07,5.21765259e-12,-1.04353082e-11,1.56529574e-11
8.65000000e-07,5.18665234e-12,-1.03733012e-11,1.55599573e-11
8.75000000e-07,5.15617726e-12,-1.03123601e-11,1.54685330e-11
8.85000000e-07,5.12621274e-12,-1.02524258e-11,1.53786382e-11
8.95000000e-07,5.09674459e-12,-1.01934901e-11,1.52902339e-11
9.05000000e-07,5.06775933e-12,-1.01355135e-11,1.52032738e-11
9.15000000e-07,5.03924429e-12,-1.00784845e-11,1.51177285e-11
9.25000000e-07,5.01118580e-12,-1.00223788e-11,1.50335591e-11
9.35000000e-07,4.98357262e-12,-9.96714787e-12,1.49507193e-11
9.45000000e-07,4.95639353e-12,-9.91278825e-12,1.48691808e-11
9.55000000e-07,4.92963657e-12,-9.85927026e-12,1.47889158e-11
9.65000000e-07,4.90329018e-12,-9.80659170e-12,1.47098728e-11
9.75000000e-07,4.87734700e-12,-9.75468052e-12,1.46320422e-11
9.85000000e-07,4.85179292e-12,-9.70358927e-12,1.45553802e-11
9.95000000e-07,4.82662023e-12,-9.65325642e-12,1.44798606e-11
