z(m^3),Temperature,Pressure,Density,Mass,Volume,IntEnergy,mdot_in,mdot_out,mdot_surf,mdot
0.00000000e+00,9.00000000e+02,1.01325000e+05,2.30611025e-01,2.30611025e-09,1.00000000e-08,-2.58615077e+06,0.00000000e+00,0.00000000e+00,0.00000000e+00,-6.27743856e+66,
5.00000000e-09,9.00000000e+02,1.01325000e+05,2.29622311e-01,2.29622311e-09,1.00000000e-08,-2.56025635e+06,-2.30611025e-07,-2.30611025e-07,-3.41463336e-19,-3.41460157e-19,
1.50000000e-08,9.00000000e+02,1.01325000e+05,2.28780170e-01,2.28780170e-09,1.00000000e-08,-2.53802421e+06,-2.30611025e-07,-2.30611025e-07,5.13042751e-18,5.13042562e-18,
2.50000000e-08,9.00000000e+02,1.01325000e+05,2.28034399e-01,2.28034399e-09,1.00000000e-08,-2.51819908e+06,-2.30611025e-07,-2.30611025e-07,-8.06133624e-17,-8.06133697e-17,
3.50000000e-08,9.00000000e+02,1.01325000e+05,2.27358122e-01,2.27358122e-09,1.00000000e-08,-2.50010888e+06,-2.30611025e-07,-2.30611025e-07,-1.63955989e-16,-1.63955985e-16,
4.50000000e-08,9.00000000e+02,1.01325000e+05,2.26735090e-01,2.26735090e-09,1.00000000e-08,-2.48334748e+06,-2.30611025e-07,-2.30611025e-07,-1.89068005e-16,-1.89067998e-16,
5.50000000e-08,9.00000000e+02,1.01325000e+05,2.26154638e-01,2.26154638e-09,1.00000000e-08,-2.46764851e+06,-2.30611025e-07,-2.30611025e-07,7.40194395e-18,7.40195623e-18,
6.50000000e-08,9.00000000e+02,1.01325000e+05,2.25609327e-01,2.25609327e-09,1.00000000e-08,-2.45282636e+06,-2.30611025e-07,-2.30611025e-07,3.33627640e-16,3.33627643e-16,
7.50000000e-08,9.00000000e+02,1.01325000e+05,2.25093718e-01,2.25093718e-09,1.00000000e-08,-2.43874549e+06,-2.30611025e-07,-2.30611025e-07,-6.40925108e-12,-6.40925108e-12,
8.50000000e-08,9.00000000e+02,1.01325000e+05,2.24603687e-01,2.24603687e-09,1.00000000e-08,-2.42530322e+06,-2.30611025e-07,-2.30611025e-07,8.47160852e-17,8.47160796e-17,
9.50000000e-08,9.00000000e+02,1.01325000e+05,2.24136014e-01,2.24136014e-09,1.00000000e-08,-2.41241944e+06,-2.30611025e-07,-2.30611025e-07,-2.33656341e-16,-2.33656341e-16,
1.05000000e-07,9.00000000e+02,1.01325000e+05,2.23688122e-01,2.23688122e-09,1.00000000e-08,-2.40003011e+06,-2.30611025e-07,-2.30611025e-07,5.28417849e-17,5.28417798e-17,
1.15000000e-07,9.00000000e+02,1.01325000e+05,2.23257907e-01,2.23257907e-09,1.00000000e-08,-2.38808295e+06,-2.30611025e-07,-2.30611025e-07,-1.75973524e-16,-1.75973530e-16,
