z(m^3),N2(T),N(T),H(T),NH3(T),NH2(T),NH(T),RU(T),N2(S),N(S),H(S),NH3(S),NH2(S),NH(S),RU(S)
5.05000000e-07,1.24024506e-17,-6.47628653e-20,-1.77142080e-15,-5.93794193e-16,2.49444586e-20,3.98105485e-20,2.35281255e-15,3.29854813e-20,2.72026616e-20,-1.28537250e-19,6.60699463e-17,2.11758237e-21,-2.89049993e-20,-6.59748106e-17
5.15000000e-07,4.04509125e-18,1.08406155e-20,2.18560083e-16,1.86198846e-16,1.03364489e-20,-2.11758237e-20,-4.08804022e-16,-8.16658875e-20,-3.14858028e-20,-1.12655382e-19,-1.65319655e-17,-5.08219768e-21,3.51518673e-20,1.67277030e-17
5.25000000e-07,4.96312958e-18,9.92227960e-20,2.38066983e-16,8.08863199e-16,-2.21204639e-20,-7.70799982e-20,-1.05189333e-15,2.03620434e-19,7.80527626e-21,6.35274710e-20,4.36285495e-18,1.27054942e-21,-8.68208771e-21,-4.63039825e-18
5.35000000e-07,1.61210546e-16,-3.35756747e-20,2.20235903e-15,3.41070385e-15,-6.25513979e-21,3.98105485e-20,-5.77427340e-15,2.91005448e-18,9.17177863e-21,-8.28186464e-19,4.69362132e-19,-4.23516474e-22,-9.84675801e-21,-2.55013165e-18
5.45000000e-07,2.85161851e-18,-4.50569416e-20,-6.07438516e-16,6.46552804e-16,2.69164571e-21,4.23516474e-20,-4.19658925e-17,9.71308562e-20,5.55865372e-22,9.59264813e-20,6.96112852e-18,2.11758237e-22,-4.23516474e-22,-7.15452996e-18
5.55000000e-07,3.79416317e-17,1.26085073e-19,-1.17389860e-15,1.13148427e-15,1.79134233e-20,-1.43995601e-19,4.47269296e-18,8.49082701e-19,-9.18170480e-21,-1.19008129e-19,5.46823295e-17,-3.81164826e-21,1.10114283e-20,-5.54104205e-17
5.65000000e-07,1.35495905e-17,-8.22180306e-20,-1.63962028e-15,1.80476884e-15,-1.01379256e-20,9.23265913e-20,-1.78698116e-16,8.06517641e-20,3.85962474e-20,3.52577464e-20,2.82479135e-17,-6.88214270e-21,-3.48342300e-20,-2.83607012e-17
5.75000000e-07,-8.74563110e-18,-2.87672738e-20,4.60966376e-16,-1.90675621e-16,9.35210401e-21,1.94817578e-20,-2.61545190e-16,8.14466847e-20,2.34538791e-20,-6.05099162e-19,-8.12833992e-19,4.76456033e-21,-2.87991202e-20,1.33706798e-18
5.85000000e-07,-2.04091833e-16,5.94746996e-20,-5.44500080e-16,-1.63185113e-15,2.01319217e-20,-7.96210970e-20,2.38044306e-15,-3.60068660e-18,-2.55119045e-20,5.71535481e-19,-1.37432896e-16,1.27054942e-21,2.59403840e-20,1.40460347e-16
5.95000000e-07,-5.36512902e-18,4.46677531e-23,2.31487280e-16,-3.14752646e-18,-4.79764755e-23,0.00000000e+00,-2.22974621e-16,1.74496232e-19,4.23367581e-20,-4.28069276e-19,-1.85649505e-17,2.22346149e-21,-4.31986803e-20,1.88171612e-17
6.05000000e-07,-7.48303358e-18,-3.65804082e-20,-3.50249677e-16,-6.23412155e-16,3.52875249e-21,3.30342849e-20,9.81144883e-16,1.06162014e-19,4.68680535e-20,1.04110937e-18,2.14695324e-17,-5.29395592e-22,-4.41515924e-20,-2.26189892e-17
6.15000000e-07,-3.64204418e-18,1.08025239e-19,8.38660453e-16,-1.79682836e-15,1.82145171e-20,-1.26207909e-19,9.61809918e-16,-1.60423408e-19,1.08327573e-20,7.01237401e-19,2.11385542e-17,-1.58818678e-21,-1.02702745e-20,-2.16783425e-17
