z(m^3),N2,NH3,H2
3.95000000e-07,6.01726409e-02,9.26836564e-01,1.29907950e-02
4.05000000e-07,6.10962607e-02,9.25713542e-01,1.31901972e-02
4.15000000e-07,6.20088412e-02,9.24603943e-01,1.33872161e-02
4.25000000e-07,6.29107519e-02,9.23507317e-01,1.35819314e-02
4.35000000e-07,6.38023424e-02,9.22423239e-01,1.37744187e-02
4.45000000e-07,6.46839438e-02,9.21351307e-01,1.39647495e-02
4.55000000e-07,6.55558705e-02,9.20291138e-01,1.41529915e-02
4.65000000e-07,6.64184210e-02,9.19242370e-01,1.43392093e-02
4.75000000e-07,6.72718787e-02,9.18204657e-01,1.45234641e-02
4.85000000e-07,6.81165136e-02,9.17177672e-01,1.47058140e-02
4.95000000e-07,6.89525829e-02,9.16161102e-01,1.48863147e-02
5.05000000e-07,6.97803313e-02,9.15154650e-01,1.50650191e-02
5.15000000e-07,7.05999928e-02,9.14158030e-01,1.52419775e-02
5.25000000e-07,7.14117905e-02,9.13170971e-01,1.54172381e-02
5.35000000e-07,7.22159375e-02,9.12193215e-01,1.55908471e-02
5.45000000e-07,7.30126380e-02,9.11224514e-01,1.57628484e-02
5.55000000e-07,7.38020869e-02,9.10264629e-01,1.59332841e-02
5.65000000e-07,7.45844713e-02,9.09313334e-01,1.61021947e-02
5.75000000e-07,7.53599703e-02,9.08370411e-01,1.62696188e-02
5.85000000e-07,7.61287557e-02,9.07435651e-01,1.64355934e-02
5.95000000e-07,7.68909924e-02,9.06508853e-01,1.66001543e-02
6.05000000e-07,7.76468386e-02,9.05589826e-01,1.67633355e-02
6.15000000e-07,7.83964464e-02,9.04678384e-01,1.69251698e-02
6.25000000e-07,7.91399622e-02,9.03774349e-01,1.70856890e-02
6.35000000e-07,7.98775266e-02,9.02877550e-01,1.72449233e-02
6.45000000e-07,8.06092751e-02,9.01987823e-01,1.74029020e-02
6.55000000e-07,8.13353379e-02,9.01105009e-01,1.75596532e-02
6.65000000e-07,8.20558409e-02,9.00228955e-01,1.77152040e-02
6.75000000e-07,8.27709051e-02,8.99359514e-01,1.78695807e-02
6.85000000e-07,8.34806474e-02,8.98496544e-01,1.80228084e-02
6.95000000e-07,8.41851805e-02,8.97639908e-01,1.81749115e-02
7.05000000e-07,8.48846133e-02,8.96789473e-01,1.83259135e-02
7.15000000e-07,8.55790510e-02,8.95945112e-01,1.84758371e-02
7.25000000e-07,8.62685952e-02,8.95106701e-01,1.86247042e-02
7.35000000e-07,8.69533441e-02,8.94274120e-01,1.87725361e-02
7.45000000e-07,8.76333928e-02,8.93447254e-01,1.89193532e-02
7.55000000e-07,8.83088332e-02,8.92625991e-01,1.90651754e-02
7.65000000e-07,8.89797544e-02,8.91810224e-01,1.92100219e-02
7.75000000e-07,8.96462424e-02,8.90999846e-01,1.93539114e-02
7.85000000e-07,9.03083809e-02,8.90194757e-01,1.94968618e-02
7.95000000e-07,9.09662508e-02,8.89394859e-01,1.96388907e-02
8.05000000e-07,9.16199304e-02,8.88600055e-01,1.97800150e-02
8.15000000e-07,9.22694960e-02,8.87810253e-01,1.99202510e-02
8.25000000e-07,9.29150213e-02,8.87025364e-01,2.00596148e-02
8.35000000e-07,9.35565781e-02,8.86245300e-01,2.01981218e-02
8.45000000e-07,9.41942358e-02,8.85469977e-01,2.03357870e-02
8.55000000e-07,9.48280620e-02,8.84699313e-01,2.04726251e-02
8.65000000e-07,9.54581224e-02,8.83933227e-01,2.06086501e-02
8.75000000e-07,9.60844808e-02,8.83171643e-01,2.07438759e-02
8.85000000e-07,9.67071992e-02,8.82414485e-01,2.08783159e-02
8.95000000e-07,9.73263379e-02,8.81661679e-01,2.10119830e-02
9.05000000e-07,9.79419555e-02,8.80913155e-01,2.11448899e-02
9.15000000e-07,9.85541091e-02,8.80168842e-01,2.12770490e-02
9.25000000e-07,9.91628543e-02,8.79428673e-01,2.14084723e-02
9.35000000e-07,9.97682452e-02,8.78692583e-01,2.15391714e-02
9.45000000e-07,1.00370334e-01,8.77960508e-01,2.16691577e-02
9.55000000e-07,1.00969173e-01,8.77232385e-01,2.17984422e-02
9.65000000e-07,1.01564812e-01,8.76508152e-01,2.19270358e-02
9.75000000e-07,1.02157298e-01,8.75787753e-01,2.20549490e-02
9.85000000e-07,1.02746681e-01,8.75071127e-01,2.21821920e-02
9.95000000e-07,1.03333006e-01,8.74358219e-01,2.23087749e-02
