z(m^3),N2,NH3,H2
0.00000000e+00,0.00000000e+00,1.00000000e+00,0.00000000e+00
5.00000000e-09,3.54129246e-03,9.95694171e-01,7.64536903e-04
1.50000000e-08,6.58173784e-03,9.91997317e-01,1.42094490e-03
2.50000000e-08,9.29300107e-03,9.88700714e-01,2.00628509e-03
3.50000000e-08,1.17669980e-02,9.85692601e-01,2.54040136e-03
4.50000000e-08,1.40592699e-02,9.82905445e-01,3.03528465e-03
5.50000000e-08,1.62062440e-02,9.80294957e-01,3.49879931e-03
6.50000000e-08,1.82333060e-02,9.77830268e-01,3.93642589e-03
7.50000000e-08,2.01589916e-02,9.75488842e-01,4.35216610e-03
8.50000000e-08,2.19973419e-02,9.73253607e-01,4.74905132e-03
9.50000000e-08,2.37593136e-02,9.71111239e-01,5.12944702e-03
1.05000000e-07,2.54536666e-02,9.69051089e-01,5.49524437e-03
1.15000000e-07,2.70875471e-02,9.67064467e-01,5.84798617e-03
1.25000000e-07,2.86668846e-02,9.65144163e-01,6.18895259e-03
1.35000000e-07,3.01966708e-02,9.63284108e-01,6.51922127e-03
1.45000000e-07,3.16811601e-02,9.61479129e-01,6.83971074e-03
1.55000000e-07,3.31240179e-02,9.59724770e-01,7.15121226e-03
1.65000000e-07,3.45284313e-02,9.58017155e-01,7.45441395e-03
1.75000000e-07,3.58971948e-02,9.56352886e-01,7.74991912e-03
1.85000000e-07,3.72327764e-02,9.54728963e-01,8.03826057e-03
1.95000000e-07,3.85373698e-02,9.53142718e-01,8.31991191e-03
2.05000000e-07,3.98129363e-02,9.51591767e-01,8.59529658e-03
2.15000000e-07,4.10612385e-02,9.50073966e-01,8.86479511e-03
2.25000000e-07,4.22838679e-02,9.48587381e-01,9.12875109e-03
2.35000000e-07,4.34822678e-02,9.47130256e-01,9.38747610e-03
2.45000000e-07,4.46577518e-02,9.45700994e-01,9.64125377e-03
2.55000000e-07,4.58115203e-02,9.44298136e-01,9.89034322e-03
2.65000000e-07,4.69446734e-02,9.42920345e-01,1.01349820e-02
2.75000000e-07,4.80582224e-02,9.41566389e-01,1.03753884e-02
2.85000000e-07,4.91530999e-02,9.40235136e-01,1.06117637e-02
2.95000000e-07,5.02301677e-02,9.38925538e-01,1.08442941e-02
3.05000000e-07,5.12902244e-02,9.37636624e-01,1.10731519e-02
3.15000000e-07,5.23340118e-02,9.36367491e-01,1.12984973e-02
3.25000000e-07,5.33622201e-02,9.35117301e-01,1.15204793e-02
3.35000000e-07,5.43754929e-02,9.33885270e-01,1.17392368e-02
3.45000000e-07,5.53744316e-02,9.32670669e-01,1.19548998e-02
3.55000000e-07,5.63595990e-02,9.31472811e-01,1.21675896e-02
3.65000000e-07,5.73315227e-02,9.30291057e-01,1.23774202e-02
3.75000000e-07,5.82906982e-02,9.29124803e-01,1.25844986e-02
3.85000000e-07,5.92375914e-02,9.27973483e-01,1.27889253e-02
